id,price,moonRank,💎 score (%),storeURL,Background,Body,Border,Equipment,Eyes,Eyewear,Headwear,Mech,Mouth,Rarity,Special
10125,10,6311,62.21,https://solanart.io/search/?token=5KqAgtDYTH6ySZ7BsfBhASwtfJwEccvFGDkjbJFhHwN1,Sky,White,Silver,Joystick,Sparkle,None,Police Hat,Purple,O,Common,None
10490,19,6957,0,https://solanart.io/search/?token=2BZpidkyfpWVjwyZfhYcQRwjHpFzLnrc2tAhxwZiEset,Night,Grey,Silver,Bamboo,Tiny,None,Banana,Blue,O,Common,None
10502,22,1344,0,https://solanart.io/search/?token=JB8swRzq6Vd8wM6GWFidR9XVUvyNUomBWRtmuYQcM9ef,Daybreak,Aqua,Teal,Beer,Shocked,Sunglasses,Short Mech Ears,Opal,Canine,Rare,None
10583,13.17,8359,23.12,https://solanart.io/search/?token=CwJvQBqThb9hQJNgdHGY6boWnkQNGEkwbkumFzN13HwC,Sun,White,Silver,Popsicle Stick,Angry,None,Trump,Blue,Drool,Common,None
10592,39,883,0,https://magiceden.io/item-details/4vyveMw981ncAiavWTmoyZPG7GL6KyZ3TC98RZUhQ2pK,Storm,Tiger,Pink,Ruby Rod,Pleading,Lock-On,Valkyrie,Neo Tokyo,Rainbow Barf,Ultrarare,None
10723,100,5167,0,https://solanart.io/search/?token=5nJ1pebUVQ4bHDsCKbRe22ftCuNdu7sTmwQB38b257UK,Night Clouds,Brown,Green,Art Supplies,Sparkle,Glasses,Mohawk,Blue,Grit,Uncommon,None
10727,12,9638,30.2,https://magiceden.io/item-details/54YtP6PQp2fa4QvjapAXnhjgvPmsdGaxinuLsgGAEK9z,Sun,Cream,Silver,Popsicle Stick,Pleading,None,Leaf Circlet,Red,Grin,Common,None
10774,10.87,10802,37.3,https://solanart.io/search/?token=3J2kWCWPzSaKBdNocTh9pqsjNzpi3c7h9hKKFmbZKm1D,Sunset,Cream,Silver,Art Supplies,Shocked,None,Backwards Cap,Pink,Sad,Common,None
10816,10.87,10305,39.09,https://solanart.io/search/?token=CBZzykoiwWJMEZrnqJxWvhFd2QAnaC4TRyRMwt6Rqp3Z,Sun,Cream,Silver,Cookware,Sleeping,None,Tiny Hat,Red,Grin,Common,None
10834,50,2414,0,https://solanart.io/search/?token=HieRQ89w6pkT9b3zHa7ggXDP8UHbwaKxTqLzoXJQVSsw,Sunset Clouds,Grey-White,Teal,Cat Paws,Sparkle,Glasses,Cat Skull,Rust,Barf,Rare,None
10885,14.42,5603,20.57,https://solanart.io/search/?token=Hn3JhvrbTBR7KGZdG3ygs4UfSp7ZVrkBzymqPvP3XTt3,Night,Grey-White,Green,Cookware,Lazy,Sleeping Mask,Headband,Red,Laugh,Uncommon,None
