id,price,moonRank,💎 score (%),storeURL,Background,Big Item,Floor,Floor Item,Grand,Room,Small Item 1,Small Item 2,Story,View,Wall,Wall Item
121-10,3.3,4522,55.59,https://solanart.io/search/?token=5GS2iY9d1UwF4SM4HXEDE5U34dUUoCYLGF31fn1wQmFS,Yellow,Treadmill,Carpet,,,10,Gymbench,Waterbottle,121,White,Orange Crystal,
121-14,4.4,6639,36.06,https://solanart.io/search/?token=BWybvxuZq21Ng13Eqma2QCHZdnGePxR1wzimUYeoPiEM,Purple1,Cotton Bed,Black Slate,,,14,Brown Bedtable,3DGlasses,121,Blue2,Bamboo,
122-6,4,3650,52.1,https://magiceden.io/item-details/Ev6NUXUF1Xb25KeSYxKNXEQqo5xZhXzexwN5NJ332B16,Blu+e1,Ratchet Couch,Gmoot Tile,,,6,Brown Coffeetable,Gold Bookstack,122,Yellow,Gray Panels,Sol Marble Sign
122-2,3,5911,53,https://solanart.io/search/?token=CoDYkCDC49WAHDc5RMNL8GcD1hAdCMpbS5ALkJyNWiXk,Purple3,Blue Cornered Couch,Dirt,,,2,Glass Round Coffeetable,Modeltruck,122,Goldwhite,Lightgray Stone,
122-9,25,8351,0,https://solanart.io/search/?token=Ao45mLxp5PTApwZtVARVXxkH1wW3Z6b4srTcwTmSWnpf,Blue2,Beachy Chairwplant,Carpet,,,9,Cartire,,122,Goldwhite,Silver Bricks,Television
123-12,1.5,6247,66.64,https://magiceden.io/item-details/2xECgdM3c85zpXZgxgGkDmtBL73NuqeVv1zqpUcEDgFP,Green1,Ratchet Bed,Cobblestone,Dogbed,,12,,,123,White,Gray Panels,Katakana Sign
123-17,5,1975,48.85,https://magiceden.io/item-details/D3DnXrqXfYCRDAqp1KRaDtbiTcsRzkE2RqPqcb8i2az2,Yellow,Granite Kitchen,Lavarock,Bananas,,17,Microwave,Mango,123,Goldwhite,Ice Bricks,Neon Gm Sign
123-2,1.9,4316,70.42,https://solanart.io/search/?token=8LfYYLjZTFtZtzegEXzi2PnyBdaWXSyRPxCqrqNCXrec,Blu+e1,Butcherblock Kitchen,Snow,,,2,Toaster,Breadloaf,123,Purple,Orange Crystal,Heart Sign
123-13,2.49,309,80.66,https://solanart.io/search/?token=FEGbM1UZ1gACVewEfwcZRruiKHSrr4R6jgvXzSs4gHhD,Yellow,Weightrack,Darkbrown Tile,Bananas,,13,Yogaset,Jumprope,123,Red,Gray Bricks,Clapperboard
124-4,1,5366,75.19,https://magiceden.io/item-details/2ed6T98JyGD3zMyRfg9XVHX7nQmwE51Zpx5fy943rFnF,Teal,Bar,Snow,Rocks,,4,Canstack,,124,Blue3,Blue Crystal,Heart Sign
124-20,2.69,3819,64.52,https://magiceden.io/item-details/z8tRweUBEwPaDq3aZxCkn6G17h4GD2cM7DVEmmUSDBM,Pink,Futuristic Cornered Couch,Lavarock,,,20,Brown Round Coffeetable,Modelbot,124,Black,Steel Metal,Neon Grindset Sign
124-5,4.3,6180,38.91,https://solanart.io/search/?token=HESeov3ZfJPKecB4xapvSdocgYRRmK18exYnLJtbXCF8,Black,Cotton Bed,Carpet,Socks,,5,,,124,Green2,Blue Crystal,Infinity Sign
124-1,6.9,8952,1.75,https://solanart.io/search/?token=ETJvqRNwJyiDY7rp1pGt6EEcc4HnAsyFvpULRDVCGV6b,Yellow,Gray Cornered Desk,Black Slate,,,1,Coding Supplies,,124,Black,Silver Bricks,
125-20,1.4,3545,78.52,https://magiceden.io/item-details/EvZGiRqa3hk49fPp6SvRyQL7fAoucwwurpnzviGYftEU,Yellow,Evening Dining Table,Lightbrown Tile,,,20,Silver Coathanger,Gmoot Loot,125,Green2,Futuristic Panels,Infinity Sign
125-3,5,2682,46,https://solanart.io/search/?token=BBuYQeipsh6iBdmdnDkV2SZqEN4tYVfV8uwEYCWxhovs,Yellow,Silk Bed,White Slate,Football,,3,Brown Bedtable,Pearlnecklace,125,Goldwhite,Orange Crystal,
125-1,20,3363,0,https://solanart.io/search/?token=EBDFaFVo5ZDU9qcMpC3m7ePNyhhajH6aXxn4GCXbt7R5,Burgundy,Poker Round Table,Glass,Crystals,,1,Officechairs,Cards Setup,125,Red,Brass Metal,
126-2,2.5,2887,70.17,https://magiceden.io/item-details/E1aQeT6zwsFvZHQ4WDGEb2t7CTiZ9ykiXJB4ioJKJSq6,Green2,Silk Bed,Checkered Tile,Volleyball,,2,Brown Bedtable,Sombrero,126,Black,Jungelvines Gray Bricks,
126-4,15,830,0,https://solanart.io/search/?token=7Cc9vVAPhUoWcNuqqp5V44BJ3VEv9BWxM2rcQz7Xu5zJ,Purple2,Treadmill,Black Slate,Confetti,,4,Balanceball,Kettlebells,126,White,Gold Bricks,Neon Gn Sign
126-8,29.950001,103,0,https://solanart.io/search/?token=292YbHf5FHrWsP6WRNoAgARLAC62j2zauDJMC93ThZY3,Purple2,Gray Couch Cornered,Darkbrown Tile,Sneks,,8,Glass Round Coffeetable,Plushiebear,126,Orange2,White Smooth,Engima Poster
126-1,665,5157,0,https://solanart.io/search/?token=2ezpQFAiSscW2CYPYqx4Pzdzqhz5vJ3f4dSvJxqGnNhR,White,Silk Couch,Grass,,,1,Cardboardbox,Gold Bookstack,126,Goldwhite,Glass,Neon Gm Sign
126-7,4.3,3196,50.93,https://alpha.art/t/Gy8kzhXba9kNUpaA5Yd3PYvumwsjifRzfd8EcX5Lnr7J,Purple2,Green Cornered Couch,Gmoot Tile,,,7,Brown Round Coffeetable,Modelbot,126,Yellow,Green Crystal,Sol Marble Sign
127-11,3.99,3931,51.07,https://solanart.io/search/?token=CyumvQQSCXKyvSGmcQoJ2B9NpdDmoddPGEhrUEQ7wM6a,Pink,Brown Chairwplant,Lightbrown Tile,,,11,Safe,Headphones,127,Blu+e1,Gray Bricks,Neon Arc Blue Sign
127-5,10,1624,0.26,https://solanart.io/search/?token=6Gt5dgbwNcrnbfAjzCpkztD4ErGvQwf1xwb4Hcnf9hAq,Blu+e1,Black Bed,Grass,Volleyball,,5,Brown Bedtable,Sunglasses,127,Green1,Silver Bricks,Neon Gmi Sign
128-15,1.59,5438,69,https://magiceden.io/item-details/9Y6dnsU8iH7JGwaE1TEBwgb6xXZLEqfCfSL1SFHcJnDY,Black,White Bed,Sand,,,15,Brown Bedtable,Spartanhelmet,128,Blue2,Lightbrown Planks,Candles Shelf
128-1,4.2,81,64.47,https://solanart.io/search/?token=9m4ZyDP3M9Ftxwd9FjF4pkWtXg9w9E5Z6A9VbN4UTkpW,Black,Cotton Bed,Lightbrown Tile,Dogbed,,1,Brown Bedtable,Sombrero,128,White,Pink Smooth,Skyline Poster
128-17,12,9691,0,https://solanart.io/search/?token=81nhD4AcXPmKBtBnSAAbzBsnAC88f8QFMMZMvDcNK4UR,Black,Gold Couch,Dirt,,,17,,,128,Peach,Brass Metal,Katakana Sign
129-10,6.2,2960,32.88,https://magiceden.io/item-details/EfS3CH7FAd3zemB4jRcY5k7qTBwsayJMTXCYWFZkEGj7,Orange,Marble Round Table,Void,Crystals,,10,Classicchairs,Oranges Basket,129,Blu+e1,Junglevines Tree,
129-4,3,7377,47.09,https://solanart.io/search/?token=GKe8tSy6WE1dvP28ge1Mbbjcwv2Zs9buRfYzYrBbuHZa,Purple3,Tiedie Bed,Black Wood,GN Slippers,,4,,,129,Green1,Jungelvines Gray Bricks,
129-15,3,574,74.49,https://solanart.io/search/?token=A8fXY25ib33zbmLmUSq3bJoHQbwKW9UpdRMrytjKcR14,White,Orange Couch,Lightbrown Tile,Lightbrown Rug,,15,Cardboardbox,Coffee,129,Pink,Lightbrown Planks,Ice Clock
129-17,10,9889,0,https://solanart.io/search/?token=AEswssbNKTDyqWE2gksTQPUZAnoQFTf7aFmURvmmrcwC,White,Cotton Bed,White Slate,,,17,,,129,Orange1,Pink Smooth,
129-7,59,8748,0,https://solanart.io/search/?token=CZdMCSDRC7sEqERe3RKGFnWHjm8rtQFrwci6DZmXzVPa,White,Butcherblock Kitchen,Gold Tile,,,7,Toaster,,129,Black,Solana Smooth,Ice Clock
130-4,1,7786,65.45,https://magiceden.io/item-details/Y6wynMifZ3e1cw1FVGvaFQpkwSkzzrUPFLgzXSRzRB3,Purple2,Silk Couch,Darkgray Wood,,,4,Candymachine,,130,Red,White Planks,Clapperboard
130-3,1.5,9734,52.6,https://magiceden.io/item-details/8suSDycmbgjD1KY9FpWA2SuGNXQ7tgW2hksrxK22kWE9,Black,Beanbags,Carpet,,,3,,,130,Blue3,Gray Panels,Neon Gm Sign
130-13,2,5500,64.65,https://magiceden.io/item-details/7v1NDH3Ffn677zNtKM3c8AW3tLDvKXkk86phuU7SBBzD,White,Black Bed,Black Wood,,,13,Brown Bedtable,Sombrero,130,Blue2,Adobe,Gray Clock
130-2,4,5938,42.89,https://solanart.io/search/?token=H8PSbGDrwKGHfm3inB7jrweKK8R5N1ZmGgV1QhmH3DRp,Green1,Ice Couch,Glass,Rocks,,2,Candymachine,,130,Red,Bamboo,Katakana Sign
130-11,5,6413,30.97,https://solanart.io/search/?token=4XkFxeb1exjUBsvJ1TzfdETBa4rmjgry61p7KsAzG9vJ,Burgundy,Morning Dining Table,Sand,,,11,Silver Coathanger,,130,Goldwhite,Lightgray Smooth,Lights Poster
130-5,18,7830,0,https://solanart.io/search/?token=7wf7uHebKoNLerRYNxx64hcRvy7hN3zDtej97quPFL1k,Teal,Evening Dining Table,Grass,,,5,Silver Coathanger,,130,Orange1,Gold Bricks,Sol Black Sign
130-12,555,4139,0,https://solanart.io/search/?token=Epr7YG8UdWwzKLXLEL9LkzCA7itf1JhWenWqjywpqyQK,Green2,Brown Chairwplant,Darkbrown Tile,,,12,Minifridge,Cash,130,Green2,Junglevines Tree,Star Sign
131-6,17.5,37,0,https://magiceden.io/item-details/cpaRHMJY4XPFL73wWUuMSPgdNJPSZBhJzb2fQQFypUV,Rose,Silk Bed,Snow,Baseball,,6,Brown Bedtable,Litjesus,131,Orange1,Pink Smooth,Lights Poster
131-10,4.2,4044,48.51,https://solanart.io/search/?token=F7SmPQoijR6ZD8ZhFou15dVvR9gwaKFSCupuEeK1eDC2,Blu+e1,Marble Round Table,Checkered Tile,,,10,Officechairs,Bigbrain,131,Blue4,White Smooth,Gold Clock
131-11,19,6065,0,https://solanart.io/search/?token=E1PLfkWSXuDAig92SAyPmHxSP94pKxQnamgh4jkrkgWU,Black,Futuristic Cornered Desk,White Slate,Confetti,,11,Trading Supplies,,131,Orange1,Jungle Tree,Katakana Sign
131-20,100,9071,0,https://solanart.io/search/?token=D7JcPWRkovHgCV5yUQCGxKjutGkv6aG5Zkb1BYb5UbzT,Blu+e1,Evening Dining Table,Mud,Crystals,,20,,,131,Black,Gray Panels,Sol Marble Sign
132-5,2.35,7069,54.83,https://solanart.io/search/?token=FfS9gXStqd8HM2mdTupqa4FxsRWxxBdLy4atDb5j1aRB,Orange,Gold Couch,Checkered Tile,Crystals,,5,Bike,,132,Goldwhite,Ice Bricks,Candles Shelf
132-20,6,6509,20.59,https://solanart.io/search/?token=BpTQVhp19UdLZ3pHUXXy8Z8MhLEY6riTkSRGXXiAUdVx,Purple1,Djstand,White Slate,Rocks,,20,Canstack,,132,Goldwhite,Concrete,Neon Grindset Sign
132-15,15,1412,0,https://solanart.io/search/?token=ATAGeDFRAMVJAVVMc41hee4or1S85FTjez2dnvHqkB1d,White,Orange Couch,Glass,Rocks,,15,Brown Coffeetable,Gold Bookstack,132,Blue2,Ironrusty Metal,Neon Grindset Sign
132-2,5,5039,36.51,https://alpha.art/t/Eso64BrZVSaW5v1kSMADosA4ECbWvbJu28kYSywnr3RJ,Purple1,Bar,Lightbrown Tile,Cotton Rug,,2,Canstack,,132,Purple,Glass,Sol Marble Sign
133-20,4,3392,53.14,https://solanart.io/search/?token=36PMNvKxbWPyLKsnKNWXEbVjQp9N8LuTte6a2fYum9h7,Blu+e1,Blacknwhite Couch,White Slate,,,20,Cardboardbox,Grenade,133,Blue2,Green Crystal,Star Sign
133-4,4.3,5672,40.96,https://solanart.io/search/?token=63sEbdreMgLncA1xtb8nuM9N4bgY43M9nPy8xN5PZbxL,Black,Cotton Bed,Glass,,,4,Brown Bedtable,Sunglasses,133,Yellow,Gold Bricks,Sol Black Sign
133-10,0.8,6645,72.04,https://alpha.art/t/EjUjWqGRWAKgcHf1JvHGVinTpL7dNsV59GHpLtHoU7s3,Orange,Marble Kitchen,Grass,Fish,,10,,Bagels,133,Blu+e1,White Smooth,
134-5,3.99,5490,44.79,https://magiceden.io/item-details/4hCrcxWB5hRPL1iTHFcginZxdWnxd1GYi92GQvHH4m9T,Purple3,Bar,Glass,,,5,Canstack,,134,Peach,Lightgray Smooth,Skyline Poster
134-18,1.99,491,84.92,https://solanart.io/search/?token=AKQQ4LSmcTtskHJeP2RAMDVGXbvPKZ6tBvCpvebJCAQP,Turquoise,Gold Couch,Gray Tile,Fish,,18,Futuristic Coffeetable,Spacemarine,134,Blue4,Junglevines Tree,Binaryclock
134-7,11,5476,0,https://solanart.io/search/?token=v6tCAEewDJ6LqRcUr8VVCjHmuqRCh8vr3cRFWd1opQ7,White,Purple Cornered Couch,Dirt,,,7,Plantpot,Modeltruck,134,Purple,Lightgray Stone,
135-9,3,7196,47.82,https://solanart.io/search/?token=4ipR6t9iByG4ftcfSbL9QU8Mc7jrLtxvownaZF92Cmpm,Teal,Tiedie Bed,Lightbrown Tile,Volleyball,,9,,,135,Purple,Concrete,
135-3,4,2159,58.11,https://solanart.io/search/?token=A6rqw1TVWYc8DBPQ19sxF4gmp5FBiURmZGzQ2XLnSAUC,Black,Lunch Dining Table,Lightgray Wood,Bananas,,3,Silver Coathanger,Normal Loot,135,Blue3,Futuristic Panels,Neon Arc Purple Sign
135-8,7,6512,10.58,https://solanart.io/search/?token=4trCYHjMrmq3EewtNMVmPqUCQj24CvE7tCD9dUfFZfvU,Black,Lunch Dining Table,Black Wood,,,8,Brown Coathanger,Gmoot Loot,135,Red,Junglevines Tree,
135-17,9,9686,0,https://solanart.io/search/?token=BPrTsjkdrZirSNPBJY3Jh75NqafabSDzsJrA6jhnzbyN,Black,Djstand,Silver Tile,,,17,,,135,Green1,Jungle Tree,Neon Gmi Sign
136-13,5.49,6712,24.87,https://magiceden.io/item-details/AS6nrtd8dZMbBJ4sNnYwGYSuqtpjaNrRdTy925gigiP6,Blue2,Paintersdesk,Glass,,,13,Easel,,136,Blue2,Solana Smooth,Candles Shelf
136-9,4.8,186,58.05,https://solanart.io/search/?token=HuWUAGV6ukYnaJJGqPDfGfRS88PBwFGEFDNd2dSoRm4V,Purple1,White Bed,Dirt,Football,,9,Brown Bedtable,Spartanhelmet,136,Orange1,Lightbrown Planks,Clapperboard
136-15,3,8661,41.92,https://alpha.art/t/ExVV6ekARcsjLL31GkRvJ51nhAcXabxBQbL93LxJFJ8y,White,Ice Couch,Mud,,,15,Hotpottable,,136,Purple,Ice Bricks,Binaryclock
137-8,4.45,2408,52.6,https://magiceden.io/item-details/v7aFtLjvi6Z3zcEqhzgzygM1fZQ5RdHX49XCkXHQDMT,White,Brown Round Table,Void,Sneks,,8,Classicchairs,Oranges Basket,137,White,Blue Crystal,Neon Grindset Sign
137-14,2.95,2137,68.69,https://solanart.io/search/?token=JBJ8iFUPNBrwEorZokUyiv1WBUhM9JQ97p7GZ71AGgxJ,Blu+e1,Green Couch,Checkered Tile,Crystals,,14,Safe,Cigars,137,Purple,Glass,Gray Clock
137-19,3.79,2542,58.66,https://solanart.io/search/?token=DBDkdXCPcUPKXM2UoXYpusMCVCXo4Y4KHQYPHRAGjyjo,Green1,Ratchet Bed,Mud,Confetti,,19,Brown Bedtable,Spartanhelmet,137,Blu+e1,Darkbrown Planks,Star Sign
137-13,16,2395,0,https://solanart.io/search/?token=EmcyHBgX66jR4USUqYxwGLHdvBYp9dE6TJeNLicsP7Dc,Rose,Djstand,Snow,Dancemat,,13,Canstack,,137,Green1,Ice Bricks,Neon Grindset Sign
137-11,4.2,2343,55.36,https://alpha.art/t/CDP2TXgwd9BAYAU73VbcSanDSjDvueA9ofTAB6w5TTkA,Blu+e1,Gold Couch,Gray Tile,Sneks,,11,Glass Coffeetable,Coffee,137,Goldwhite,Solana Smooth,Gray Clock
138-15,5,9272,19.46,https://solanart.io/search/?token=DK2ktBnEPe7huZDQr1BAiFQvPMGjE6rg4BpWfWbkqHSX,Burgundy,Paintersdesk,Lavarock,,,15,,,138,Purple,Gold Bricks,Candles Shelf
138-5,6,3978,30.78,https://solanart.io/search/?token=FpcSLd93DwpEsCyn3bCd3zDNrRJRZ6eQ4Sib44GqWpvc,Green2,Brown Round Table,Mud,Rocks,,5,Officechairs,Cheesewheel,138,Goldwhite,Lightgray Stone,
138-17,100,2694,0,https://solanart.io/search/?token=2YVdNLHheDwMWcrRNymWwuoBf8p9N2XWGQ1vdNUgXY6A,Turquoise,Blue Cornered Couch,Cobblestone,,,17,Plantpot,Modelplane,138,Orange1,Lightgray Smooth,Star Sign
139-19,1.2,5218,73.79,https://magiceden.io/item-details/68orT57CkXd3ZSySV1hNuNoTeWbJ7bsan4oTCZvqwBza,Blue2,Djstand,Grass,Dancemat,,19,Canstack,,139,Orange2,Green Crystal,
139-14,1.5,5547,69.46,https://magiceden.io/item-details/7WUvGNwT8H7B8XYZxPNMV788437WpX8VqJrpPsCDFE3R,Teal,Ratchet Bed,Gmoot Tile,Baseball,,14,,,139,Yellow,White Smooth,Sol Marble Sign
139-9,4.69,5827,36.43,https://magiceden.io/item-details/HmzYp2h8qMdKKLAQKghpk4p5RE9VWd6QjLYsYejXDz8Z,Black,Black Bed,Gold Tile,,,9,Brown Bedtable,3DGlasses,139,Blue4,Green Crystal,Gray Clock
139-5,3.4,4848,53.28,https://solanart.io/search/?token=BcbNA1ui5giEZyoxL7vZwnWSGTrU4wGmCbbJoEaSb1Ar,Blu+e1,Gray Cornered Desk,Carpet,,,5,Garage Supplies,Shark Acquarium,139,Black,Ice Bricks,Sol Marble Sign
139-20,5,4825,37.37,https://solanart.io/search/?token=CXJ67RmWZvVTaJXe8DbJFQy2oj8YsoTcNDLBdVMYv4Ng,Orange,White Bed,Gold Tile,Rocks,,20,Brown Bedtable,Solanavisors,139,Orange1,Brass Metal,
139-7,15,6737,0,https://solanart.io/search/?token=DVD9nbi4S2fSmeoY8pFCRqCqBdmiULQSFgv55z4BD97E,Pink,Gray Deskwchair,Gmoot Tile,Fish,,7,Candymachine,,139,Black,Ironrusty Metal,Sol Marble Sign
140-19,2,4966,66.8,https://solanart.io/search/?token=77GCdr67wJ4LQiszAcbqf8ka44dcTMgAmL8eFNyE5o51,Yellow,Black Bed,Lightgray Wood,Sneks,,19,Brown Bedtable,Pearlnecklace,140,Pink,Futuristic Panels,
140-1,3.2,1097,70.38,https://solanart.io/search/?token=GbStwGr7ABUBskgPD8c1NDNNyQwoCh87Wj4GjVUXCuLV,Rose,Brown Round Table,Cobblestone,Bananas,,1,Classicchairs,Pizzabox,140,Blue4,Ironrusty Metal,Candles Shelf
141-8,15,1547,0,https://solanart.io/search/?token=Hyht3nfvyjUXwRy7xfgqoz6j7LtNprWPBdtvDmNjKHfD,Rose,Evening Dining Table,Lightgray Wood,Lightbrown Rug,,8,Brown Coathanger,Gmoot Loot,141,Goldwhite,Darkgray Smooth,Gray Clock
141-4,6.66,625,37.68,https://alpha.art/t/4ZEnGqv3bhNaEEN8oUH4w62b1LXB1ChsMmRarCLV4NQz,Blue2,Purple Cornered Couch,Snow,Sneks,,4,Crystal,Plushiebear,141,Purple,Lightgray Smooth,Television
142-19,0.8,6459,72.79,https://magiceden.io/item-details/J1TCqf1eU41SeDhedAWrMMR7xAgpQxgvGNEYRnVGTtm3,Blu+e1,Morning Dining Table,Checkered Tile,Crystals,,19,Silver Coathanger,,142,Red,Ice Bricks,Gold Clock
142-1,5,3908,41.06,https://magiceden.io/item-details/8omPQHkSxKk18cJ7qPUFTW4J2SgcFYrHndXLGWVkXTyU,White,Gray Couch Cornered,Gmoot Tile,,,1,Holotable,Plushiewhale,142,Blu+e1,Glass,Neon Gn Sign
142-17,6,6231,21.71,https://solanart.io/search/?token=6CezEdsf5Rf9u9UJ7zNRQwfxefhgyPsT2e6ESn7obWfc,Turquoise,Evening Dining Table,Black Slate,Confetti,,17,Brown Coathanger,,142,White,Darkgray Stone,Dartboard
143-6,3.9,447,66,https://solanart.io/search/?token=5bKgBzr6TsQp1i8qVsHNrjzTtQGUARXjuwXTg3M4HXGX,Pink,Silk Bed,Darkbrown Tile,Basketball,,6,Brown Bedtable,Waternplant,143,Purple,Steel Metal,Star Sign
143-2,6.9,1080,33.45,https://solanart.io/search/?token=AGSmYz4ZWvMkbVzDFSA1E2cug3u6rxZBViDVwAvbQLXA,Rose,Futuristic Cornered Couch,Cobblestone,Confetti,,2,Holotable,Modelspaceship,143,Yellow,Darkgray Stone,Neon Gm Sign
143-9,7,9705,0,https://solanart.io/search/?token=8ifGjPAG4cZKiKtgAooEDdSM8iEvU419WNMPsmDcNaQ6,White,Tiedie Bed,Brown Wood,,,9,,,143,Pink,Bronze Metal,Ice Clock
143-19,9,1692,9.99,https://solanart.io/search/?token=Hzuwh2U4Y1kFL92qhZwYZLhEgEPKdeM5ebBJpxBYLB9h,Black,Ice Couch,Gmoot Tile,Lightbrown Rug,,19,Safe,Laptop,143,Green1,Junglevines Tree,Dartboard
144-2,1.4,1740,85.79,https://magiceden.io/item-details/3ksB4mV9ESnbDqk7N2Byk2Pkyo6NTKboEjCLnBFiiiA4,Yellow,Evening Dining Table,Black Slate,Confetti,,2,Brown Coathanger,Normal Loot,144,Yellow,Brass Metal,Heart Sign
144-20,3,5546,54.47,https://solanart.io/search/?token=GeDkzHPgzP95wmmVQ55drAcAHk7qrv3937MiwjxLWtzp,Teal,Morning Dining Table,White Slate,Confetti,,20,Silver Coathanger,,144,Green1,Gray Bricks,Katakana Sign
144-14,4,5769,43.57,https://solanart.io/search/?token=BtaidCFWgpSAS33okkfVH1VnmjkmJ7mFJTzqXPR7Uxps,Blu+e1,Silk Couch,Hay,,,14,Safe,Gummybear,144,Black,Gray Panels,Gray Clock
145-7,1.99,8256,53.65,https://magiceden.io/item-details/5ds7ZL5dGuxW18eyc3GsrV81vYqJsvyKaLhARnSsC5Mp,Burgundy,Bar,Silver Tile,Confetti,,7,,,145,Pink,Solana Smooth,Gold Clock
146-15,1000,2752,0,https://magiceden.io/item-details/AwdRyXeoV9qq2QtTUGbMcGvU7BxYcnQYFiYgGmejvpS2,Rose,Green Cornered Couch,Darkbrown Tile,,,15,Pyramid,Modelspaceship,146,Orange2,Bronze Metal,Heart Sign
146-1,4.5,5480,39.73,https://solanart.io/search/?token=FCngx2w2cRmQXSfHoC1HuNvMLjJC9HojgAvYEg5sZMMP,Purple1,White Bed,Mud,Dogbed,,1,,,146,Peach,Ironrusty Metal,Sol Marble Sign
146-5,5,3540,42.54,https://solanart.io/search/?token=u9yKNKE9TjYYzXDC9Agwf9MRshfnM7757jAiu2G5STj,Burgundy,Lunch Dining Table,Cobblestone,Rocks,,5,Silver Coathanger,Normal Loot,146,Green1,Concrete,
146-19,6.99,4142,20.22,https://solanart.io/search/?token=8uQ7gqCBAG8omDh8kL6ERj7Zxxv2KYFYYAT3WCkY71Sq,Orange,Gold Couch,Lightgray Wood,,,19,Safe,Cash,146,Green2,Green Crystal,Television
147-10,2.5,2007,73.72,https://magiceden.io/item-details/FvBxnwhcKcpog5BDmp9mbkxqiQ7UW6dQJ2n84KxpQfyK,Black,Butcherblock Kitchen,Gold Tile,Rocks,,10,Toaster,Bagels,147,Orange1,White Planks,Neon Arc Red Sign
147-16,8,6094,2.26,https://magiceden.io/item-details/DqjJCMiG1QputXLguGTkN6u26MxCxCHMzHnvxea37gwC,Green2,Blue Couch,Gold Tile,Sneks,,16,Cartire,,147,Green2,Junglevines Tree,Binaryclock
147-18,6.9,7674,6.9,https://solanart.io/search/?token=6nQ3YF6gisKxaC5pUsR7gQyVmLWtNvVT4c97iDyP7yyK,Green1,Bar,Gold Tile,,,18,Canstack,,147,Yellow,Orange Crystal,Sol Black Sign
148-14,3,7556,46.37,https://magiceden.io/item-details/3TD4LRMJMJJ4vVASowedCd83XdT3MqANUTixQHaB6W7z,Turquoise,Evening Dining Table,Grass,,,14,Silver Coathanger,,148,Red,Steel Metal,Heart Sign
148-1,2.9,8566,43.3,https://solanart.io/search/?token=fQ9XiKXHwEq9J2hsb2nuc5wZV7ApU63CivXn6XzaUXc,Black,Black Chairwplant,Gold Tile,,,1,Cartire,,148,Purple,Void,Neon Grindset Sign
148-4,3,6633,50.09,https://solanart.io/search/?token=uwKeBWj2HfQZL1LH7vH7APwdn4w9uiuFfNaX6WQpB41,Purple3,Brown Round Table,Cobblestone,Sneks,,4,Officechairs,,148,Black,Jungle Tree,Gray Clock
148-20,5.9,7579,17.28,https://solanart.io/search/?token=ABiUJ4yCDPotC7tYLxuA6PJz22UTgCxKhbvvaN3wwcqv,Green2,Green Couch,Carpet,,,20,Hotpottable,,148,Blue2,Lightgray Smooth,Binaryclock
149-10,4.9,2722,46.84,https://solanart.io/search/?token=GgZBwY1cn9fMLQHab8eEZPR6nwvfwWWbvWx499x6jYWD,Blu+e1,Bathtub,Mud,Confetti,,10,Safe,Cash,149,Green1,Lightgray Stone,Star Sign
150-20,1.2,6359,69.19,https://magiceden.io/item-details/G3Rh2P71N8esEikFXZqzE3d5eFV936q2yLJ12ajmp6F6,Black,Paintersdesk,Carpet,Bananas,,20,,Paint Supplies,150,Blue3,Gray Panels,
150-5,2.5,3346,68.33,https://solanart.io/search/?token=33cWrZxcQLXTMEH8jy3MCegxzNXtGNJiY4yXgTbastac,Turquoise,Black Bed,Grass,,,5,Brown Bedtable,Cowboyhat,150,Purple,Solana Smooth,Earth Poster
150-4,3.6,195,70.01,https://solanart.io/search/?token=ETEq1nLk3UdMVmvudJ3UhsoMpxnJ73SYxBVE8qYDjFPy,Burgundy,Morning Dining Table,Lightgray Wood,Bananas,,4,Silver Coathanger,Normal Loot,150,Green2,Darkgray Smooth,Earth Poster
151-10,5,1772,49.66,https://magiceden.io/item-details/7LUwpFCmefvHEtE9G9FTNgssCcp3coXeGKmxd8BGBxit,Purple2,Ratchet Couch,Lavarock,Rocks,,10,Safe,Laptop,151,Blue4,Black Smooth,Sol Black Sign
151-14,2,7337,57.25,https://solanart.io/search/?token=Fm8BMX3U5Hv1QuixscjMwN7SnqHpeScHvVyNnbps4jUi,Black,Ice Couch,Grass,Bananas,,14,Candymachine,,151,Blue2,Darkgray Smooth,Neon Gn Sign
151-6,2,5773,63.55,https://solanart.io/search/?token=D4bNchhwWbuNEjiwfjMk2qGwYv1G6P5gc8xig4WyaiSE,Black,Marble Kitchen,Snow,Sneks,,6,Cuttingboard,,151,Purple,Silver Bricks,Katakana Sign
151-18,5,5026,36.56,https://solanart.io/search/?token=28AhzWTXH99zARt24pAoBw5e2z5vvgX6pZvs8aUmHhRX,Purple1,Gray Couch Cornered,Gmoot Tile,,,18,Marble Round Coffeetable,Modelspaceship,151,Pink,Psychedelic Smooth,
151-13,12,6936,0,https://solanart.io/search/?token=8Byxcf7XuFRyLpuHnf3kAwYtfwVSBgCe74hWF8FMFML7,Blue2,Black Chairwplant,Lavarock,Bananas,,13,Bike,,151,Goldwhite,Orange Crystal,Gold Clock
152-19,1.5,5326,70.35,https://magiceden.io/item-details/14EcwpygCFDvJgMjj6x3azPTxEDg4gRoa6RtTDboHfdw,Green1,Granite Kitchen,Gold Tile,Rocks,,19,Toaster,,152,Blue4,Gray Bricks,Neon Gm Sign
