id,price,moonRank,💎 score (%),storeURL,Arsenal Back,Arsenal Front,Background,Base,Decoration,Elite,Eyes,Headwear,Nose,Outerwear,Outfit
2015,14.99,7877,0,https://magiceden.io/item-details/9fijRSQPw9uykfJdxa4om2vSAHyQXF2UH88t5Qjx1DDq,None,None,Fuschia,Black - Lockjaw,None,,Bored,Crimson Beret,Triangular,None,Basic Tee (Red)
2018,5,9927,30.29,https://solanart.io/search/?token=9m2Wv2s4B4ni1vFbggw8m3e1CCREEWyHGbjBHiN43u54,None,None,Green,Black - Oooh,None,,Default,Halo 2,Double-Barrel,None,None
2028,19,6605,0,https://solanart.io/search/?token=9cYEeh3DJBZtXhSQWvxaD6McjJUR6yYE2aqUS3HSynHC,None,None,Bone,Purple - Cigarette,Freckles,,Sunken,Flat Bill Cap (Coffin),Heart,None,None
2073,4.3,8634,42.46,https://alpha.art/t/3Xf7tLDERN1H55GniqQ6dNzhFhyKabWMZxLrquCCBGtP,None,None,Green,Yellow - Toothy,None,,Sunken,Bowler,Double-Barrel,None,Robe (Pink)
2102,7.69,6329,17.78,https://magiceden.io/item-details/8b7fJm2FcZmeuLTbmxgbyp4rKjKnm8rhnnZcbYGwrBhc,None,None,Red,Gray - Oooh,Freckles,,Eyebrow Raise,Halo 2,Triangular,None,Basic Tee (Purple)
2126,21,2970,0,https://solanart.io/search/?token=BXFDbJssHoH7NtRwfpJv6fub8LZbeJUySpcqAQoueC6e,None,None,Red,Purple - Open,Piercing (Left),,Eyeballs,Baphomet Horns (Golden),Piercing (Studded Hoop),None,Basic Tee (Red)
2131,8,4064,23.74,https://alpha.art/t/Gqo4qMsb4bBtNB7zAzTNBaDMY96Ft7fDcHnZxbLpsJ1m,None,None,Bone,Blue - Oooh,Piercing (Right),,Blindfold,Viking's Helmet,Double-Barrel,None,Hoodie (Purple)
2135,9.67,6887,0,https://solanart.io/search/?token=D8Z5qr3KknE9DT2K9UxqwfgMZ1GXRfezUkugWEyQfnK9,None,None,Bone,Emerald - Default,None,,Closed,Ball Cap (Skull),Mustache,None,Basic Tee (Black)
2137,8.2,9332,0.67,https://solanart.io/search/?token=Cc3eGKyVAAWWd1GeCrfUkdGAecMpuw42BM14L18szAg5,None,None,Bone,Yellow - Oooh,None,,Default,Bowler,Double-Barrel,None,Tutrleneck (Black)
2166,4,8812,44.75,https://solanart.io/search/?token=CAgk6VJj95SkPKmJce8mEMT7bCmwLXvW9trzSn6Zy62B,None,None,Red,Purple - Oooh,None,,Flower Eyes,Horns (Small),Heart,None,Turtleneck (Green)
2167,4.5,2769,63.92,https://solanart.io/search/?token=4ytiWM8ES7pdTdPegvwxSLfb9aZqaumKFjiZYgBAotsE,None,None,Pink,Blue - Lockjaw,None,,Eyebrow Raise,Cycling Cap,Narrow,Surgical Mask,Tutrleneck (Black)
2183,30,414,0,https://solanart.io/search/?token=3bc8PbZSTciYg7CXQ87fBVAf1kPGzNS8DWScFegG3WK8,None,Soul,Yellow,Robot - Default,Hanging Charms,,Angry,Trucker Hat (Green),Triangular,Goatee,Tanktop
2184,20,8606,0,https://magiceden.io/item-details/FJE7SmAWZ2sr4QBaJ4aw8c7PCWMuzJkuKoBrXZ155pm2,None,None,Slate Gray,Blue - Sewn,None,,Glasses (Half-moon),Halo 2,Piercing (Studded Hoop),None,Basic Tee (Red)
2185,4.38,6848,48.81,https://solanart.io/search/?token=BffFp9WAAdLiA9BgxxxzdWKqAvhr2qnFqdNGrnwq11zj,None,None,Fuschia,Yellow - Gold Tooth,None,,Adorable,Baphomet Horns,Mustache,None,Basic Tee (Blue)
2193,2.69,8924,57.4,https://solanart.io/search/?token=HmCwm4kCFLtmNBqaL4JoNvVLwp3A7Uieo1N3BSXRkRhh,None,None,Deep Gray,Gray - Default,None,,Double Button Eyes,Viking's Helmet,Heart,None,Basic Tee (Black)
2215,5.8,3276,48.9,https://solanart.io/search/?token=HR4xAuDg5LcnphNRp8euV6AztwwDYxV6gV35jjEaNjHZ,None,Seer's Orb,Red,Black - Cracked,None,,Feminine,Ballcap (Planet),Default,None,Basic Tee (Red)
2219,4.8,6080,47.68,https://magiceden.io/item-details/2etunsNGPjk8cPMBTtR7ETgCbt773QPzn7JyGtGZKnbd,None,None,Pink,Blue - Oooh,Piercing (Left),,Eyeballs,Officer's Cap,Triangular,None,Basic Tee (Purple)
2220,4.75,4797,53.31,https://solanart.io/search/?token=GdVihkF9K3FQpoUGEDN1EUxKDw4oA2v1QvCTbbj1bC2G,None,None,Blue,White - Side Open,Piercing (Right),,Scope Technology,Tilted Halo,Default,None,Tanktop
2222,420.690002,432,0,https://solanart.io/search/?token=5my1KMWUJu6ZKrHZNHPo1G4dNwGG7X4WFh3THiu9CjMu,Herald's Halo,Soul,Slate Gray,Green - Open-minded,Hanging Charms,,Angry,Lil Skully,Triangular,None,80s Jogging Jacket
2234,8,9394,2.42,https://solanart.io/search/?token=2a82v1ULkGdy71gW3KKmzdLGks9bhVj28RSftLu3PYmk,None,None,Deep Gray,Purple - Gold Tooth,None,,Monocle,Dad Hat,Default,None,Basic Tee (White)
2253,7,6328,24.69,https://alpha.art/t/4aLHx5V2ZXPiTunky1uiagWPLfdMq39hRBUXjNmt1E5k,None,None,Blue,Red - Cracked,Piercing (Right),,Closed,Flat Bill Cap (Coffin),Default,None,Basic Tee (Purple)
2342,5,9805,30.78,https://solanart.io/search/?token=6wzpv8M6m6fGeWFdmzJ2toe5Tg2tRftgPccGcdYkggmG,None,None,Purple,Gray - Side Open,None,,Monocle,Trucker Hat (Purple),Narrow,None,None
2345,4,2197,71.21,https://solanart.io/search/?token=CwENTtmCUGCtruqZpid3kPbPuxL5oQuMRcQwdWdMpmH8,None,None,Blue,Purple - Toothy,Piercing (Right),,Toon,Horns (Small),Heart,None,Astronaut
2350,6.942,3845,35.2,https://alpha.art/t/8Q5Rzwe116XeqrepkfDRigbmqhDY6w9d5cJ6ayMEXX3k,None,None,Deep Gray,Purple - Fangs,Hanging Charms,,Default,Cyberpunk Hat,Piercing (Studded Hoop),None,Collared Shirt (Gray)
2398,19,5882,0,https://solanart.io/search/?token=63LMniyEEgU7zuUi2idHHrRwJkyXfYT4eDmxTWigbwhr,None,None,Bone,Gray - Lockjaw,None,,Dead,None,Piercing (Barbell),Reaper Hood 2 (White),None
2400,5,6504,43.98,https://magiceden.io/item-details/HZ3tJZM29RCpH53uXh1dFnCtuTTu1Jm4ZXhXWG92Wim4,None,None,Deep Gray,Green - Cracked,None,,Closed,Cyberpunk Hat,Narrow,None,Blade Runner Jacket
2412,39.450001,5830,0,https://solanart.io/search/?token=J4QoA4Qq8kVbwjXvbfUMXr56rQbHcy59MPsSUPuvkShM,None,None,Bone,Black - Sewn,Piercing (Left),,Blindfold,Star,Triangular,None,Collared Shirt (Gray)
2428,18,543,0,https://magiceden.io/item-details/BFvcKVhjHwWRjqTm5XBozur27ux8bLUGySbd7e3oqSEK,Divining Staff,None,Yellow,Green - Oooh,Face Tattoo,,Eyeballs,Iron Dome,Mustache,None,Turtleneck (Blue)
2437,30,292,0,https://solanart.io/search/?token=74Yy2Liot66W57yVDMnXnJKkwwXymeX17W8iYavDTeku,Oerberus Halo,None,Pink,Ancient Open (Golden),Runic Marking 3,,Ancient Fire,Crystal,Default,Overgrown,None
2451,5.5,3150,52.4,https://solanart.io/search/?token=C2jEQr1kSMxBEbVwb8xKFcksKJicTG3pN3Mf6iyLYcj1,None,None,Deep Gray,Yellow - Fangs,Piercing (Double),,Dead,Bow,Heart,None,Suit
2472,8,8043,7.83,https://magiceden.io/item-details/BpkfG6FzXDJrf1v4gm6zdjYbHSSmETy94Xjr33j4gFiP,None,None,Purple,Green - Side Open,None,,Default,Athletic Visor,Piercing (Studded Hoop),None,Basic Tee (Red)
2481,15,1740,0,https://solanart.io/search/?token=C3vXrEMuYhxq7tXQRaJvRjh36sWV58jV81sf1TLEDHGi,Crucifix of the Maligned,None,Sky Blue,Red - Cigarette,None,,Bored,Serow (Infernal),Triangular,None,Basic Tee (White)
2511,2.8,5674,69.3,https://magiceden.io/item-details/GhcazP7CexJhhHrXzFUoopoVDt3ZUnBJrWwcG6e2QMSv,None,Soul,Bone,Blue - Default,None,,Dead,Headband,Default,None,Turtleneck (Green)
2536,2.4,5924,72.3,https://magiceden.io/item-details/3Hnz8t77LgTPrUetzZNm8N853Q4Ub2W938A9DgHtH2Xv,None,None,Bone,Gray - Sewn,Piercing (Right),,Eyeballs,Tilted Halo,Triangular,None,Turtleneck (Blue)
2559,4.5,7888,43.45,https://magiceden.io/item-details/3FXjAbJz6iVeGLG6mdAjXEcxmvTPbhqjE8sF4KB4QRZo,None,None,Red,Gray - Side Open,None,,Button Eye,Crystal,Narrow,None,Silver Armor
2588,4.9,9429,33.28,https://alpha.art/t/62ZeWNxRkv4XkZKpvWSoN6mXcXrcV1k2GiLkhAfAaxYr,None,None,Bone,Blue - Open-minded,None,,Monocle,Jewel,Narrow,None,Basic Tee (Blue)
2605,7.48,1689,38.44,https://solanart.io/search/?token=BN3tU56XJ7ZGaNtkN9HLZ7Yo41E2fMJqBZgRAQ86VuSL,None,None,Sky Blue,Blue - Cigarette,Piercing (Double),,Button Eye,Serow (Infernal),Narrow,None,Collared Shirt (Green)
2615,12,6375,0,https://solanart.io/search/?token=AUztCCmXPAEhgdY53EpBzaTMVM2J1LoeKbJxLTm6ihLy,None,None,Aqua,Yellow - Lockjaw,None,,Ancient,Horns (Small),Triangular,None,Turtleneck (Red)
2620,50,6205,0,https://solanart.io/search/?token=HpLSUgh57mXRcChz6H1nVswwbYRDRTjtFgyxeqhVpR6U,None,None,Red,Blue - Lockjaw,None,,Monocle,Viking's Helmet,Piercing (Barbell),None,Suit
2631,10,1061,15.76,https://magiceden.io/item-details/DxhkriVCbnMFihpSc2nA6A5vGT3KtYBsQXntBMtNoafM,None,None,Red,Mummy - Default,None,,None,Flat Bill Cap (Coffin),None,None,Turtleneck (Green)
2638,10,7099,0,https://alpha.art/t/2NbR3j8pGwWZgDUgNajSU3M443eU7Xe7xd85JVHozzAz,None,None,Deep Gray,White - Side Open,None,,Bored,Propeller Hat,Narrow,None,Hoodie (Purple)
2707,5,3384,56.46,https://magiceden.io/item-details/7nRKC8bTJQQNnHThrnouwARaKGaPvWYwRa9qYu6GxsFn,None,None,Deep Gray,Gray - Sewn,Sigils,,Eyeballs,Sailor's Cap,Double-Barrel,None,Hoodie (Blue)
2738,10,3003,7.99,https://magiceden.io/item-details/7NaqyhDZiV5bQzuQQZ3qFswN7b8wqs2ybwNrARYgk96V,None,None,Slate Gray,Gray - Gold Tooth,Piercing (Left),,3D Glasses,Trucker Hat (Green),Piercing (Barbell),None,Robe (White)
2742,8,8016,7.94,https://magiceden.io/item-details/9nKd3UxTMXS7N8xwdyn7DAe2BYajHAaKxNZ9wvXRQJkr,None,None,Deep Gray,Yellow - Open,None,,Default,Bowler,Piercing (Barbell),None,Turtleneck (Blue)
2756,5,4871,50.52,https://solanart.io/search/?token=DhdbKv2gWJ78xH6vXgD3twCeaVKdPaBG1vAf9ss92qjy,Draelic Nimbus,None,Aqua,White - Open-minded,None,,3D Glasses,Jewel,Default,None,Basic Tee (Purple)
2765,4.5,9059,38.76,https://magiceden.io/item-details/By8TJNm5JLtUNbDgiZ2UDUMTS1AygWz8irHcs8AgeuYo,None,None,Aqua,Green - Gold Tooth,None,,Adorable,Ornamental Circlet,Double-Barrel,None,Collared Shirt (White)
2777,2.49,9856,55.68,https://alpha.art/t/BdCwtTCwUpvvm6qT5Mw3i3Hd8S12FAJeEpZSXb6uz8K7,None,None,Blue,Purple - Oooh,None,,Eyepatch,None,Narrow,None,Basic Tee (White)
2817,7.69,4359,25.66,https://solanart.io/search/?token=HZMMQhRRYR8R7itAXyGmxyrJLGWS7Lu6R1M97SqKAcNG,None,None,Pink,Green - Toothy,None,,Double Button Eyes,Serow,Piercing (Hoop),None,Overalls
2831,10,2874,8.5,https://magiceden.io/item-details/7GNBEeJDE18R6yExgowh4W1BBksMKKDZWXwgDnQ4GrS2,None,Soul,Blue,Black - Open-minded,None,,Double Button Eyes,Bow,Heart,None,Cyberpunk Jacket
2839,7,9991,10.04,https://magiceden.io/item-details/4TSGGEuZzmeAKdCL2TCWKVRtkz1DR8Nthm4YPtarHVxj,None,None,Green,White - Open-minded,None,,Default,None,Triangular,None,Tutrleneck (Black)
2840,75,2120,0,https://magiceden.io/item-details/GjRxZGmp79kEdnsrngCajCKGk27JGkSq1GjwF1NLE5Ed,Divining Staff,None,Aqua,Yellow - Default,None,,Adorable,Bowler,Heart,None,Explorer's Outfit
2851,15,6619,0,https://solanart.io/search/?token=A97ptibh6aRYVPjXVRDPykFdESajvBKgParxcweZRJbj,None,None,Pink,Gray - Open-minded,Piercing (Left),,Adorable,Jewel,Mustache,None,None
2855,10,3796,4.82,https://solanart.io/search/?token=DA64347qfpvhcKNTfeMcrGpYRRYR4AcdSy8RmXBFkBnZ,None,None,Yellow,Purple - Lockjaw,Piercing (Left),,Sunglasses (Big),Lil Skully,Heart,None,Turtleneck (Red)
2881,4.95,4453,52.69,https://magiceden.io/item-details/9oZKHgSgaqzF37FC9hgdey529iTHZVYxndj3TvckKPeg,None,None,Purple,Red - Gold Tooth,Freckles,,Monocle,Ball Cap (Skull),Piercing (Barbell),None,Turtleneck (Red)
2904,7.2,7668,17.33,https://alpha.art/t/D3Es5qCEdhrjqHQkrBzYTCwxqYvSBHenp3YLBAHZosYa,None,None,Sky Blue,Blue - Open-minded,None,,3D Glasses,Jewel,Piercing (Barbell),None,Basic Tee (White)
2922,10,9491,0,https://magiceden.io/item-details/AHsQDLhdk3i6CdPgBFqb7jxWwZEHPmXfex6ffbkDhp5i,None,None,Yellow,White - Lockjaw,None,,Closed,Ballcap (Night),Double-Barrel,None,Turtleneck (Green)
2927,3,9372,52.51,https://magiceden.io/item-details/FrmB4v3rMaDERddqVgkhe9xYPNkxfvFicYC3N1U9XGzo,None,None,Pink,Red - Gold Tooth,None,,Glasses (Half-frame),Halo 2,Double-Barrel,None,Turtleneck (Red)
2941,12,7867,0,https://solanart.io/search/?token=DQZVZy4MTKZcZ7uJQgo4dPjSwH5UgysgutuNihQzASUS,None,None,Green,White - Sewn,None,,Closed,Tesla Coils,Triangular,None,Basic Tee (Black)
2962,31,1580,0,https://magiceden.io/item-details/9bKCa6sNf4RZci7RGkaN8vuHWJaiBwB9AWPertmEBjY8,Oerberus Halo,None,Purple,Gray - Cracked,None,,Glasses (Half-moon),Headband,Piercing (Hoop),None,Power Armor
2966,3,4979,70.08,https://magiceden.io/item-details/HgPNpKDegTuVf1AdEZ3GGrL15oxGdgF1MEmCx2G6dh1R,None,None,Sky Blue,Green - Oooh,Freckles,,Default,Dad Hat,Piercing (Barbell),None,Basic Tee (Purple)
2981,8,1153,35.39,https://solanart.io/search/?token=4uaKQ6N4Ybnmqaj3UZCmwv3feBUvvEcxoCBPcPL4xUrZ,Draelic Nimbus,None,Green,Red - Oooh,Piercing (Right),,Eyepatch,Halo 2,Narrow,None,Hoodie (Red)
3015,6.5,8673,20.31,https://magiceden.io/item-details/XAPARHWXdDRNCD3HtnCxhDBUkCKs23jih3HkJPsaAi8,None,None,Bone,White - Open,None,,Double Button Eyes,Bowler,Double-Barrel,None,Collared Shirt (Green)
3016,100,5121,0,https://magiceden.io/item-details/9bEECLgjqeRbwB2kc7AHbcdBGtJtppAfCt3Yn7PsEexs,None,None,Deep Gray,White - Default,None,,Infernal,Candle,Double-Barrel,None,High-Collar Robes
3028,13.13,6090,0,https://magiceden.io/item-details/AbbjLTXSMSSi9kFvePq8WnaKoEg6wz2yhiXbh9Etxkie,None,None,Slate Gray,Red - Sewn,Face Tattoo,,Eyebrow Raise,Beanie,Default,None,None
3034,50,2026,0,https://solanart.io/search/?token=AhQZFYeDMARcH9drpjrbBZVXAyNnZ2astdnmjpEP4EXG,None,Soul,Green,Red - Side Open,Freckles,,3D Glasses,Ball Cap (Skull),Default,None,Collared Shirt (White)
3041,8,9341,2.64,https://solanart.io/search/?token=7grS4HyPgx49eeTyUGi77AnnjMevSbbeVKyS3Lj6HqZw,None,None,Sky Blue,Purple - Sewn,None,,Dead,Halo 2,Double-Barrel,None,Collared Shirt (Green)
3068,6.6,9614,15.54,https://alpha.art/t/Diu4Tia7GX2tpNWUNEu9xvFgXwkcCb6oNZop5swvfiXr,None,None,Aqua,Yellow - Toothy,None,,Sunken,Beanie,Heart,None,Turtleneck (Red)
3075,3.33,9926,47,https://magiceden.io/item-details/GNJmnGcEHQYpN4xeDyVX7SGpiHhXMnaaVGUTqtF8958r,None,None,Green,Blue - Open-minded,None,,Coins,None,Double-Barrel,None,Collared Shirt (White)
3093,8,5237,19.05,https://solanart.io/search/?token=6Hs25hWyd6RuUg9ym2Eyc9u42vJrjz2rktLKHMFK6gxs,None,None,Fuschia,Purple - Fangs,Piercing (Right),,Glasses (Half-frame),Trucker Hat (Purple),Piercing (Studded Hoop),None,Basic Tee (Yellow)
3123,4.99,5156,49.48,https://solanart.io/search/?token=6vWfhA1XA1PrLkNHyS3uzuGPKF7uTdrDaJmrLinTQxJJ,None,None,Red,Blue - Toothy,Sigils,,Dead,Ball Cap (Skull),Mustache,None,None
3139,4.2,9310,40.76,https://alpha.art/t/GGAHFfDn3xNQyPvmR2Wnhvd7dhyXsS5oNxXQuMD9cKqr,None,None,Red,Blue - Oooh,None,,Closed,Ballcap (Night),Heart,None,Basic Tee (Blue)
3183,15.5,7621,0,https://solanart.io/search/?token=3pHVrbxDpEL4FkRPnpuWnXa4AFtLCd1tU3sgC8Tyt74o,None,None,Blue,Black - Default,None,,Feminine,King's Crown,Mustache,None,Collared Shirt (Gray)
3195,7.5,2318,35.73,https://magiceden.io/item-details/HUpqg2b8TPKJPCToM9p6a8C9XY6db1YXjEvpufsgdpVU,None,Seer's Orb,Aqua,Yellow - Sewn,None,,Sunken,Trucker Hat (Purple),Piercing (Hoop),None,Basic Tee (Red)
3204,4.5,6437,49.25,https://magiceden.io/item-details/3he25afVC3qygrcLp4k81KXKG3CgQyocNGh5E9tePe9Q,None,None,Slate Gray,Red - Open,None,,Monocle,Iron Dome,Triangular,None,Hoodie (Gray)
3210,8,4368,22.53,https://magiceden.io/item-details/HgB8HK6psX4bgffGytFX4HtTtabrMCGaq25hvf8sSaHP,None,None,Deep Gray,Black - Default,None,,Monocle,Exposed Brain,Piercing (Barbell),None,Bowtie
3212,2.48,9507,57.17,https://magiceden.io/item-details/7YJtBd9HXyyLysXDorrpA8HdAbkonbD6ehBXzHhvdkHT,None,None,Aqua,Gray - Open,None,,Double Button Eyes,Crystal,Heart,None,Basic Tee (Black)
3233,8,3125,27.5,https://magiceden.io/item-details/BWoLkXwZrGQYDdfWafB6nkasCFkz6ZgfLXCFz62ntbRS,None,None,Pink,Green - Lockjaw,Freckles,,Feminine,Cycling Cap,Double-Barrel,None,Golden Armor
3235,6,2161,51.36,https://magiceden.io/item-details/FGktBcYkeiUxPiqc9FGpk8tvAMSY4CTcWsr9ipAFWi8m,None,Soul,Bone,Green - Side Open,Piercing (Right),,Sunken,Headband,Piercing (Barbell),None,None
3236,8,3855,24.58,https://magiceden.io/item-details/13W4MoCBAZLh3jsPh6rbih2YKpYhxGzb9BZT8SkaETPc,Draelic Nimbus,None,Fuschia,Blue - Side Open,None,,Sunglasses,Ball Cap (Skull),Triangular,None,Collared Shirt (Green)
3255,5.95,6082,36.17,https://magiceden.io/item-details/4ByzgJq6WoyAJnEjexSciduBdpaoUqnFrWKhuGBhaVz8,None,None,Purple,Blue - Toothy,None,,Bored,Ballcap (Planet),Triangular,Gas Mask,None
3280,6000,1934,0,https://magiceden.io/item-details/AGSiACQmZL5vBio8bdV1Guh6P97HosC4U5JvN1r7aH5F,None,None,Green,Blue - Cracked,None,,Dead,Crimson Beret,Heart,Gas Mask,Power Armor
3297,5,2166,61.34,https://solanart.io/search/?token=2KZ9oNsP2bjaNkScuZJQYykbAXuFJnzMXKKRDy9E6sHX,None,None,Yellow,Red - Side Open,Sigils,,Double Button Eyes,Trucker Hat (Purple),Piercing (Barbell),None,High-Collar Robes
3299,149,514,0,https://solanart.io/search/?token=8doNktUTLSCz7NVSHrPt9dfjJJELNW3FiHronQNx5hay,None,None,Yellow,Diver - Default,None,,None,Beanie 2,None,None,Royal
3311,25,4415,0,https://magiceden.io/item-details/CCNquQKcywX755pyRTqauP8ooCQD6TNohBSFsTn3LHek,None,None,Pink,Circuitry (Green) - Default,None,,Sunken,Trucker Hat (Dusty),Triangular,None,Power Armor
3315,4,5467,58.13,https://solanart.io/search/?token=8aeoPgY5Wm62rLXoNSZFnrfe3897tk9aE8e9Ux2yLKcu,None,None,Deep Gray,Blue - Cracked,None,,Eyeballs,None,Piercing (Barbell),Reaper Hood 2,None
3320,7,9704,11.18,https://solanart.io/search/?token=2D2aKsedgpszPZr91VK5gpnZXDzTFv6zgnvQAmzqRAv7,None,None,Fuschia,Green - Lockjaw,None,,Eyeballs,None,Triangular,None,Star Priest
3384,6,1630,53.48,https://magiceden.io/item-details/8i2gatLpBaSrkyoqS6CnfENQqBEH4d6wvNjWww4chG6N,None,None,Slate Gray,Yellow - Sewn,Face Tattoo,,Double Button Eyes,Turban,Piercing (Hoop),None,Hoodie (Purple)
3387,6.5,2990,43.04,https://solanart.io/search/?token=9iozdKzJckpdtVA51tXW69EDtcGB9D4D6b9cV8ymnzjt,Divining Staff,None,Yellow,Blue - Gold Tooth,None,,Glasses (Half-moon),Fez,Default,None,Basic Tee (Purple)
3390,6,5362,38.55,https://solanart.io/search/?token=EqF8UwJWf37Dm681P7Xym2VfiiwuqpfchRQoJc5sv7wW,None,None,Purple,Red - Sewn,Piercing (Double),,Sunken,Fedora,Default,None,Basic Tee (Red)
3402,6,7257,30.97,https://magiceden.io/item-details/GMz94UP2tVGo2Bu1sJmuaRUoHqZrtbGjCAnE2qj4wX6q,None,None,Fuschia,White - Cracked,None,,Reptilian,Ballcap (Night),Triangular,None,Basic Tee (Blue)
3428,6.9,8582,16.67,https://solanart.io/search/?token=G21QuMLBJhnJvJ9CxmAPCBAh36i5gBZ2KFazeAcbyarw,None,None,Deep Gray,Yellow - Toothy,None,,Closed,Trucker Hat (Purple),Default,None,Hoodie (Blue)
3433,6.66,7579,23.08,https://magiceden.io/item-details/3XcWHnR96L1hmc1gAozQbBFz235qGdLwJ73sxYtYfvPe,None,None,Slate Gray,Blue - Gold Tooth,None,,Eyepatch,Fez,Narrow,None,Basic Tee (Yellow)
3437,14,5536,0,https://solanart.io/search/?token=CiDwLCn8wpMgxGoPqCZfdUPYkdqLzeBa7ky3QDyG9yb4,None,None,Blue,Gray - Oooh,None,,Double Button Eyes,Serow (Infernal),Default,None,Turtleneck (Green)
3441,9,4961,10.16,https://magiceden.io/item-details/Cov9jX2GgeTDQuz84vPCss1VLKZyoMG9QWmpgP7PgNaA,None,None,Green,White - Fangs,None,,Superhero Mask,Punk Hair,Default,None,Reaper Cloak
3458,3.5,4821,65.72,https://solanart.io/search/?token=DtpCBaUZtDVVnQBXSGzUn5qsMS7rsdrstHdEfRB4Xs4H,None,None,Aqua,Blue - Fangs,Piercing (Right),,Feminine,Halo 2,Heart,None,Star Priest
3462,75,2890,0,https://solanart.io/search/?token=2YkpxBMH4HtBX5uYw8vCPL7ATibdjprJDuB12XbHXjbo,None,None,Deep Gray,Green - Side Open,Freckles,,Parasite,Bowler,Heart,None,Explorer's Outfit
3473,9.5,9323,0,https://solanart.io/search/?token=35ns3UfUu1RFAcBe1zRQprDQijfNrGpVQ1ezg1YEEwgM,None,None,Purple,Blue - Toothy,None,,Adorable,Stapled Dome,Heart,None,Collared Shirt (Green)
3487,10,9810,0,https://magiceden.io/item-details/h2KHKi2vGpu42793TPXEzXiXdM58aXgym2J46zGMEQh,None,None,Bone,Black - Gold Tooth,None,,Eyeballs,Crystal,Triangular,None,Collared Shirt (White)
3510,9,3268,16.93,https://solanart.io/search/?token=FepgMrzJEwdMsib9iJbgELLbvY8ptmU58UNK7VN6xr68,Divining Staff,None,Green,Black - Side Open,None,,Monocle,Sailor's Cap,Piercing (Hoop),None,None
3534,5.98,7624,29.7,https://alpha.art/t/CvamLvvbYYwaVwF15sxwyzKcmoemasJHDLp5DznodUhb,None,None,Bone,Black - Fangs,None,,Monocle,Beanie 2,Triangular,None,Hoodie (Blue)
3539,4,9941,40.24,https://solanart.io/search/?token=DcScqxVgXQ79ezXG3tzUYZe1dfJ13eGiSq9G6ww2dra1,None,None,Blue,Gray - Open-minded,None,,Default,None,Default,None,80s Jogging Jacket
3554,300,7804,0,https://magiceden.io/item-details/Brw6zKsBujtYrgjCCQpPueD6wDcJ1dqdk6Bdi4HrwbDp,None,None,Fuschia,White - Toothy,None,,Dead,Glowing Power Gem,Heart,None,Overalls
3556,3,7974,58.1,https://solanart.io/search/?token=9ySr4U6KX2B91LDXBZSu7KejYwoho6Q93YsVgTkAoW9F,None,None,Pink,Red - Cracked,None,,Sunken,Backwards Hat,Heart,None,Robe (Blue)
3589,6.9,1471,45.12,https://solanart.io/search/?token=D8nGPFHQzgG5AouwmPvUqpgkWpC283GFKfEMtKXRDm1Z,None,None,Aqua,White - Lockjaw,Hanging Charms,,Glasses (Round),Gambler Hat,Mustache,None,Reaper Cloak
3606,6.3,798,53.81,https://magiceden.io/item-details/74jye64wExDypHgp4RRoevtKijwNZWeScKhTuQLfLFFD,None,Seer's Orb,Bone,White - Default,Sigils,,Dead,Athletic Visor,Triangular,None,Basic Tee (Red)
3627,4.4,2064,67.74,https://magiceden.io/item-details/95Y9BiasNamYSSa8QQmSfsJrmP9opsZHeKKDH1bqRD1J,None,Harrow Staff,Deep Gray,Purple - Cigarette,None,,Sunglasses (Big),Tiny Crown,Double-Barrel,None,Turtleneck (Green)
3697,12,6790,0,https://solanart.io/search/?token=6Smg285AX1ZwJRdCGyGmyATpqvnYeX3dPK7G26sxaU5Z,None,None,Blue,Infernal - Default,None,,Feminine,Ornamental Circlet,Heart,None,Robe (Pink)
3718,15,9934,0,https://alpha.art/t/EKrAokqWifrBXhCQe7xctiUnAZTZzmGbQwdiv3Fm13on,None,None,Bone,Blue - Toothy,None,,Double Button Eyes,None,Piercing (Studded Hoop),None,None
3745,12,4876,0,https://magiceden.io/item-details/8BhP1T68Nrd55a668MKxmN1pVWz7pLXTL8x6bdYZQ2it,None,None,Bone,Lunar - Default,None,,Glasses (Half-moon),Ball Cap (Skull),Double-Barrel,None,Blade Runner Jacket
3754,5.75,5193,41.73,https://solanart.io/search/?token=5mMbuzcHUm19Ls4PTcP8xwgUpGUQdip887kKe2iUsiaD,None,None,Blue,Purple - Sewn,Piercing (Right),,Angry,Ballcap (Planet),Mustache,None,Tanktop
3774,16,1764,0,https://solanart.io/search/?token=4iUnWkUdmNrm7VgfF3HEgLvT1XmpzfYKM3FPbMLCwGG2,None,None,Aqua,Purple - Sewn,Piercing (Right),,Bored,None,Double-Barrel,Reaper Hood 2 (White),High-Collar Robes
3819,3.99,3373,66.61,https://magiceden.io/item-details/EyoSeWWTKs3jESFaWFtSkK9ezK4mCvcTxF1hgVuLZ3Uu,None,None,Pink,Purple - Gold Tooth,Freckles,,Coins,Trucker Hat (Purple),Piercing (Hoop),None,High-Collar Robes
3867,14.87,3048,0,https://solanart.io/search/?token=DsREntFKq6dzzkmSuhfqXMGzXsdtM28pmaDePPAXScxC,None,None,Deep Gray,Red - Open,None,,Parasite,Silver Crown,Mustache,None,80s Jogging Jacket
3927,20,8363,0,https://magiceden.io/item-details/7sxThmGFiXLU8cWdi72C98p5EBGQbiM7fbCrgSqEEmUc,None,None,Aqua,Purple - Cigarette,None,,Flower Eyes,Tiny Crown,Heart,None,Turtleneck (Green)
