id,price,moonRank,💎 score (%),storeURL,BACKGROUND,BODY,EXALTED_STAT,FUR,GLASSES,HEAD,IDEA_CREDIT,MOUTH,❤️
2810,3.8,7329,59.11,https://solanart.io/search/?token=3auvMXUcpT8MM8riTXLeRPp54Mss2v8rp3XQafwURG7N,Red,No Traits,,Scarred Red - Grin,No Traits,Boot,,Smashed Bottle - Grin,4
2818,106.900002,2181,0,https://solanart.io/search/?token=J94RTwkKPPbW4JGA3LasG1jYkuMUHVXvmbfRWUN3vPf6,Blue,Overalls,,Blue - Smirk,Reading Glasses,The Gambler,,Match Stick - Smirk,6
2834,4.5,12134,38.54,https://solanart.io/search/?token=DwychsN6bMMTVuEgz4NJ7BsUs2cWB38Dnad75tnc82XT,Yellow,Dress Shirt,,Scarred Brown - Smirk,No Traits,No Traits,,Bird Foot - Smirk,1
2838,10,5911,1.11,https://solanart.io/search/?token=GoeFxecJsVeHyGEqq964Ua1ZnVupcwkuvoJrDUcraYXj,Black,Chain,,Black - Smirk,Reading Glasses,No Traits,,Cigarette - Smirk,3
2839,305,827,0,https://solanart.io/search/?token=HZfADkXNQdWKB8rCFcw1zjz58UWkUkjjXAd6yZVWazAc,Green,Blouse,,Green - Smirk,Reading Glasses,Headband,,Burnt Spoon - Smirk,3
2846,7,5420,32.5,https://solanart.io/search/?token=9P3Jfk6tkcqpLy7dwVsXzCTeZzWq5zmLgv9bBhdt8jsF,Black,Turtle Neck,,Scarred Black - Smirk,Reading Glasses,Sombrero,,No Traits,1
2847,4,6308,59.99,https://solanart.io/search/?token=ELm2uhTQhFaxjLFo1cWd15phX4uaoq91UmuUfFSJL1Vg,Yellow,Chav Jacket,,Brown - Smirk,No Traits,Degen Service Hat,,Rat Tail - Smirk,6
2859,2.95,10244,59.38,https://solanart.io/search/?token=CT8v8Us4qRkC5E6FNctHukYkJZejsWPrgXzUE6TXCJtD,Green,Fairy Wings,,Green - Grin,No Traits,Belt,,No Traits,2
2860,45,588,0,https://solanart.io/search/?token=J46fBpgD4jgJ5B2mWxhFceTaJenafdprYuaL1ejXTmwi,Black,Hockey Pads,,Fox - Grin,Trash Vipers,Beret,,Dynamite - Grin,1
2867,9,14150,0,https://solanart.io/search/?token=CaDVU4aBWNazbUgCsv9igFPANJUnWDkJo3Yz7SvQHKvA,Black,Turtle Neck,,Black - Smirk,No Traits,No Traits,,No Traits,6
2894,16,6208,0,https://solanart.io/search/?token=ERHKbon1UHDUTzEZqiqzTsbi1X4cJJtq2a1gxNum8t23,Purple,Vampire Cape,,Scarred Purple - Grin,No Traits,Boot,,No Traits,5
2899,420.690002,2065,0,https://solanart.io/search/?token=6fgCQYA3Z6vWUx8uCnRXYp6FDhNM4YcSzM1n358ANHYs,Blue,Bandana,,Blue - Smirk,No Traits,Urn,,Match Stick - Smirk,1
2940,50,2866,0,https://solanart.io/search/?token=315UKr22W7pKpzTRsnBYC9xGWrwWRhRtdnUwMhdx3umy,Red,Toga,,Red - Smirk,Designer Glasses,The Gambler,,No Traits,1
2942,800,10749,0,https://solanart.io/search/?token=A95JsQMEUDJLzYNqATPSmBueVD5GvDFxdbQxzeKDNBKS,Purple,No Traits,,Purple - Grin,No Traits,Colander,,Bone - Grin,1
2952,19,11566,0,https://alpha.art/t/GC9GhEpBwJ9tbmubvuMDuC8oT5iWM81ywYGo8nMfUTqS,Yellow,Bandana,,Brown - Grin,No Traits,No Traits,,Acid - Grin,5
2965,67,8421,0,https://solanart.io/search/?token=bdwazdkLff6QkyyZLWVa4ksBPnHkPVprgjx5iVU7Qbt,Red,Blouse,,Scarred Red - Grin,No Traits,No Traits,,No Traits,2
2983,5,9941,39.74,https://solanart.io/search/?token=aqFMMia11DcDb7VNmwiLWMdbxZtmV3ZHAgjXBN2WB1M,Purple,Football Jersey - Red/Blue,,Scarred Purple - Smirk,No Traits,Boot,,No Traits,3
2987,6.69,2458,43.96,https://solanart.io/search/?token=4ZjmRjDrv85iSCwRApc86BnFX8K1KZaaRdAeK12FFakN,Blue,Turtle Neck,,Scarred Blue - Grin,Designer Glasses,Takeout,,Acid - Grin,1
2993,15,12191,0,https://solanart.io/search/?token=3oeWcpXxruVxdHHx2TXtJDhXitR7SBADxoHXvhd2yH8f,Blue,No Traits,,Blue - Smirk,No Traits,Beret,,Match Stick - Smirk,6
3000,2.5,11415,60.57,https://solanart.io/search/?token=GZTW6izNfSZRbZdQj5i5tj1p2NEZBSQMwvj1nLau53pR,Red,No Traits,,Red - Grin,Designer Glasses,Headband,,No Traits,1
3004,3,12658,52.07,https://alpha.art/t/AvQv71rYywf43G48zVMvKDToXFwAgehPNK74t5JJ5S68,Green,Singlet,,Green - Grin,No Traits,No Traits,,Lollipop - Grin,6
3012,99.690002,13648,0,https://solanart.io/search/?token=6NW89c6CTCnyWPM7z1fAvWzChWNrp9etiVhqWEon8y72,Black,No Traits,,Fox - Smirk,No Traits,No Traits,,Rat Tail - Smirk,6
3024,4.2,8109,52.91,https://solanart.io/search/?token=4ma4zvgaGyy5scAdSrgx2RTcxsfS7KLiy1QcMPWbawL8,Yellow,Hoodie,,Brown - Grin,No Traits,Pandos,,Bone - Grin,5
3030,9,5909,11.12,https://solanart.io/search/?token=GdbUWm3HYsVbQcmp75uw3vyQrGsKiPmcZddjLUwtUdUW,Green,No Traits,,Blue - Smirk,No Traits,Steampunk Hat,,Match Stick - Smirk,6
3060,9999,3087,0,https://solanart.io/search/?token=JE4YdKy7L9SYdXnZcwf6s49miR1iHNZz9BEeorpdH8qf,Black,Open Shirt,,Scarred Black - Grin,Trash Vipers,No Traits,,Dynamite - Grin,6
3066,4,2854,69.74,https://solanart.io/search/?token=95RgzZMa7VLmtQv3n58fCLFGMVzvN9R8TQzX2zVYW5Ug,Green,Chain,,Scarred Green - Smirk,Reading Glasses,Paint Can,,Burnt Spoon - Smirk,3
3067,15,9038,0,https://solanart.io/search/?token=FzuHRdjRtT3piqojLw3hswsj4M1o142u642pDjfB4pPX,Green,Knitted Vest,,Green - Grin,No Traits,Lampshade,,Bone - Grin,2
3080,3,10830,57.23,https://solanart.io/search/?token=5ZsEH2hEmpeYzTEtfWUCvBCrFXoWs8SdcS1Lbgm7q7zG,Blue,Bumbag,,Blue - Smirk,Designer Glasses,Trash Lid,,No Traits,6
3082,25,6460,0,https://solanart.io/search/?token=7QUFwszesRaybkkUgfZ3Pyfu7YJeddyu2b4Vid4DpxGN,Red,Toga,,Red - Smirk,No Traits,Plunger,,Burnt Spoon - Smirk,2
3094,6.9,6504,30.44,https://solanart.io/search/?token=839aLEs6E47oFC2yBfgoGtAuaWcmXGacqRryJpwXwpo8,Black,No Traits,,Antique - Smirk,Swimming Goggles,No Traits,,Match Stick - Smirk,5
3102,25,8086,0,https://solanart.io/search/?token=D4oaor6DfH56aWhMCU7nXroRvqDLJYgbW3wvugNxJ3Ev,Green,Degen Service Polo,,Green - Smirk,Swimming Goggles,No Traits,,No Traits,2
3135,2.15,6404,78.22,https://solanart.io/search/?token=D4AuNWEY6QVhE2183sYGTLW11wwAoEnoJxdFgAzM2LGq,Red,Overalls,,Scarred Red - Smirk,No Traits,Pandas Pickles,,Match Stick - Smirk,6
3151,9,10037,0,https://solanart.io/search/?token=6kjo4fhScuK2ApDJAYNCyoQAgzx8GSn8XgsPMsQ2GdEN,Yellow,Down Jacket,,Scarred Brown - Smirk,No Traits,Trucker Cap,,No Traits,2
3174,15,10484,0,https://solanart.io/search/?token=6x33VTSs2LKn39c8kcBS834qudVneKFv74z2q8cR4CGU,Yellow,Football Jersey - Blue/White,,Scarred Brown - Grin,No Traits,Paint Can,,No Traits,1
3175,49,3082,0,https://solanart.io/search/?token=4btUZZ5Rq48fyCuoeTGYYNo2LxradtgzHc7GujW1DtQM,Black,No Traits,,Antique - Smirk,Trash Vipers,Trucker Cap,,Cigarette - Smirk,5
3186,3,13162,50.64,https://solanart.io/search/?token=3g5shVnaJKNhhrEb8Wdm4yf2CXM7SpHTZMfr2aR12RbG,Green,Denim Vest,,Green - Grin,No Traits,Cardboard Box,,No Traits,6
3187,5.5,13171,25.62,https://solanart.io/search/?token=3h3337osEaypHAhJepWr8tNDAQrgtySBwQXYSZnScdNa,Green,No Traits,,Green - Smirk,Reading Glasses,Plunger,,No Traits,1
3189,9.69,11288,0,https://solanart.io/search/?token=8fgFD7dYMSRVVJ1bjyv6rGoEti2bRWgTmr3YedaXLGbp,Black,Bumbag,,Antique - Smirk,No Traits,No Traits,,Rat Tail - Smirk,6
3199,10,5216,3.07,https://solanart.io/search/?token=HvdmZT2CbpYXtmLMDczukWXHZqd7Cz6uxRj7CgQo7AbT,Yellow,Knitted Vest,,Red - Smirk,No Traits,Takeout,,Joint - Smirk,6
3224,11,10374,0,https://solanart.io/search/?token=J5wPpzP7PSn3Kzm8KVUYAZnVZeedFnZS8daeSX5zLE1y,Black,Denim Vest,,Scarred Black - Smirk,Designer Glasses,Trash Lid,,No Traits,6
3233,50,7976,0,https://solanart.io/search/?token=BB6kCungCdsRSKzXNkWnkHm5AbBvH4YaKJ46qGz998YY,Red,No Traits,,Scarred Black - Smirk,No Traits,Degen Service Hat,,War Medal - Smirk,5
3239,8,9680,10.47,https://solanart.io/search/?token=HuumtG7TUSdi5ELQTVwqrF955kqGcMeKLpfbBQ5ibQJa,Black,Fairy Wings,,Antique - Smirk,No Traits,Trash Lid,,No Traits,1
3246,25,9794,0,https://solanart.io/search/?token=8YTYX1SHUt5gC9KwKiUD1VD1gqQ7ZKtccseQ7BQXKXkA,Blue,T-Shirt,,Blue - Smirk,No Traits,No Traits,,War Medal - Smirk,2
3253,6,13989,18.31,https://solanart.io/search/?token=8v1qDbgQkXu21TuGMw6qkcqfGahHWa2YeFz4Mk68Rc7y,Yellow,No Traits,,Brown - Smirk,Reading Glasses,No Traits,,No Traits,5
3260,25,805,0,https://solanart.io/search/?token=CnA4ghczjFSGqjGVfLBdzKChrrBifbfFg73kCkFGQEhc,Black,Overalls,,Scarred Black - Grin,Swimming Goggles,Beret,,Acid - Grin,1
3268,69,1434,0,https://solanart.io/search/?token=3c3trYGGEJ4yak65dyFTi9SDVKRwzZGhMMBd2eg2Av44,Green,Football Jersey - Red/Blue,,Scarred Green - Smirk,Snow Goggles,No Traits,,Bird Foot - Smirk,1
3275,38,8485,0,https://solanart.io/search/?token=BNHFjUXMgMUmujDczWzzkKBBYdus6ex2TnEMzahPjSMB,Yellow,T-Shirt,,Scarred Brown - Grin,No Traits,Trucker Cap,,Lollipop - Grin,5
3282,49,1322,0,https://solanart.io/search/?token=2HAQYae2m8xB5J8B9GEXF7JeM74CTwMk79Uz5Gm65g4m,Red,Denim Vest,,Red - Smirk,Monocle,No Traits,,Bird Foot - Smirk,6
3294,33.330002,1036,0,https://solanart.io/search/?token=5GuBi1A5ksyfCF9V8hxuCgzUMLLo5mq9v2Ss9LCAMEuv,Black,Chain,,Black - Grin,Trash Vipers,Tomato Soup,,Lollipop - Grin,3
3313,20,5102,0,https://solanart.io/search/?token=2YLNE11DFtD2XQthw4HnZSja7CA6NuySW1kaVbjsVtiR,Black,Chav Jacket,,Scarred Black - Smirk,Designer Glasses,Tamberine,,No Traits,1
3330,5555,11211,0,https://solanart.io/search/?token=Fk52RYeqBnMLoKZ7T4jJ2HoQcgReEk9GKj1jNeqhCRuY,Purple,Leather Jacket,,Purple - Smirk,No Traits,Beret,,No Traits,5
3342,2,4041,86.39,https://magiceden.io/item-details/EMhbDqhqFjZnNhV9uZJLUtucH8QUCMQixw357BfNf4WC,Green,T-Shirt,,Scarred Green - Grin,No Traits,Flat Cap,,Bone - Grin,2
3348,4.25,8569,51.11,https://solanart.io/search/?token=7XmzqNCJkQoP2BKSArnobj3wQTarfvQhQ4wV9KjkZVFR,Red,Leather Jacket,,Red - Smirk,No Traits,Plunger,,Bird Foot - Smirk,1
3354,5000,6882,0,https://solanart.io/search/?token=DbzCd7WH7kfmHZbTEPHpFeE5jYTAzLSqDrR7HRvbNHMM,Green,Open Shirt,,Scarred Red - Smirk,No Traits,Boot,,Bird Foot - Smirk,6
3361,10,3378,8.26,https://solanart.io/search/?token=CfneKHwpdas547W5c6vkApNZMX2wzUxsPMtij25nDKeU,Blue,Football Jersey - Red/Blue,,Blue - Grin,Designer Glasses,Cardboard Box,,Lollipop - Grin,6
3363,9,4258,15.78,https://solanart.io/search/?token=9B9nFZJ2SjWQaScamWJmLDw74yKCBxm7QfdP2GRv8fto,Yellow,Prom King,,Scarred Brown - Grin,No Traits,Ice Cream,,No Traits,4
3368,2.8,7617,68.3,https://solanart.io/search/?token=4aKzqnnYSJZ16AztQcLB6CakNcqNcM3ExYV4gHcTFXkU,Black,Chain,,Scarred Black - Smirk,No Traits,Paint Can,,Match Stick - Smirk,2
3386,35,5880,0,https://solanart.io/search/?token=7WzNWbRcTPF82HFAoM1wYxt5K1QrUYtijMB1KKgx9Zg5,Yellow,Designer Jacket,,Brown - Smirk,No Traits,Lampshade,,Match Stick - Smirk,1
3400,4.2,3910,64.76,https://solanart.io/search/?token=G2rW7QL9q6fWjj611KrWfT3AExTV5ctLCy9d2b73sqgA,Blue,Hockey Pads,,Purple - Smirk,No Traits,Pirate Hat,,War Medal - Smirk,6
3415,10,5558,2.11,https://solanart.io/search/?token=8ipLbwk8CsT1wQxLQBgZWaNUxPSzGRP958jvtdwfAunY,Blue,Knitted Vest,,Blue - Grin,Reading Glasses,Plunger,,Lollipop - Grin,3
3438,350,1247,0,https://solanart.io/search/?token=3sSwh4NaVtrJRWQNYLpb7kQePoxQjbkFAbYhVAY8Hbco,Blue,Singlet,,Acid Trip - Smirk,No Traits,No Traits,,Joint - Smirk,1
3459,30,1752,0,https://solanart.io/search/?token=3sYLoiwXPhnBUPGFB1YDSec36cwqZbZhznngdwf5UC6L,Purple,Chav Jacket,,Purple - Smirk,Trash Vipers,Trucker Cap,,Match Stick - Smirk,5
3461,5,11924,34.14,https://solanart.io/search/?token=DmCJfa2Y8PRybX4vCgaK16RvWh4wofEkV9XZXeDQeBe3,Purple,Dress Shirt,,Purple - Grin,No Traits,Road Cone,,No Traits,5
3463,5,13690,29.15,https://solanart.io/search/?token=96sYHqYuu1r4pXMTUbDApgdcJKQqZZ2mQVRY7DZ65KXE,Black,Overalls,,Scarred Black - Grin,No Traits,No Traits,,No Traits,5
3464,4.8,3207,60.75,https://solanart.io/search/?token=EqX41Y8SrMVJerGnukSczVKnTREtWmHsLdUHqp9d8eGS,Yellow,Xmas Sweater,,Brown - Smirk,Designer Glasses,Takeout,,Match Stick - Smirk,6
3469,6,1772,52.8,https://solanart.io/search/?token=H8Atva3mU3dET2yJ3JEBb98BB8YuMZrdQ1HxSYeXvHtm,Yellow,Fishing Vest,,Brown - Smirk,Designer Glasses,Paper Bag,,Crayon Shiv - Smirk,4
3474,2.5,12560,57.34,https://solanart.io/search/?token=9yc4JG7N4hmx7PpnuPXGzm91zHNiDVSGAQ5SrxR3S6fB,Black,Dress Shirt,,Black - Grin,No Traits,No Traits,,Bone - Grin,1
3486,2,8277,74.43,https://solanart.io/search/?token=8psrw3SX2GFVM4jbmVS82PNMhNyYEJNtv61VyGoPMKdU,Purple,Fishing Vest,,Scarred Purple - Smirk,No Traits,Tamberine,,Match Stick - Smirk,5
3493,9.999,10304,0,https://solanart.io/search/?token=Dz7LsfkkJTHeKsgNqfXzWabWzxBj3xXfAqGoGzWxnFy7,Green,Knitted Vest,,Green - Grin,No Traits,Trash Lid,,Bone - Grin,2
3519,7,13628,9.33,https://solanart.io/search/?token=GF5H2WGPuzJqJWLqca8xKUwRjV1rmKMXMs7vAZaqbVZc,Red,No Traits,,Scarred Red - Smirk,No Traits,Beret,,No Traits,2
3526,9.99,9798,0,https://solanart.io/search/?token=2XisLZaFxdB8gi1iTSdJjapYSv39pEgV3SZNti6iDG1R,Yellow,Knitted Vest,,Brown - Grin,No Traits,Cardboard Box,,Bone - Grin,2
3532,6,2271,51.39,https://solanart.io/search/?token=BzG7Rzdus5Nzhh1kEdmQvqFX37SrcPU6BHHp9sjANNFY,Green,T-Shirt,,Green - Smirk,Swimming Goggles,Belt,,Rat Tail - Smirk,6
3534,7.69,5571,25.17,https://solanart.io/search/?token=qcdj5r4gvkaXWEtYKkXqZGo4aGM4jrf2FU87jGFnRFw,Yellow,Toga,,Brown - Grin,Designer Glasses,Pot,,No Traits,1
3539,90,4225,0,https://solanart.io/search/?token=C8mUEsA4QSVPKgxbimBK2LLT11xAQBNyXsA59yDDpM3V,Black,No Traits,,Antique - Smirk,Designer Glasses,Colander,,Burnt Spoon - Smirk,2
3541,2.554,3228,83.15,https://solanart.io/search/?token=5pEw4QepFsFCpgDLP537wQiXWuG4Q49WUP4p4Z9GzLax,Purple,Singlet,,Purple - Grin,Reading Glasses,Road Cone,,Bone - Grin,1
3555,9.99,8336,0,https://solanart.io/search/?token=25sCHWvhvEh1Rh9nigkS2Ffa7FSCW1VF9qosbeXF8Ur5,Purple,Bumbag,,Scarred Purple - Grin,No Traits,Plunger,,Bone - Grin,2
3573,2.2,5065,81.5,https://solanart.io/search/?token=AJPxhiF75tHU4LfWbnEvQPG8nLhZnC1ESn9KeWTgHXZp,Black,T-Shirt,,Brown - Smirk,Reading Glasses,Pandos,,Burnt Spoon - Smirk,4
3580,9.69,8746,0,https://solanart.io/search/?token=Fr3T5U9sTv7X9WLZ8Ytr5dZDh9KWcL8dwTv8CUUFn3np,Yellow,Bandana,,Scarred Brown - Smirk,Swimming Goggles,No Traits,,No Traits,6
3590,29,1456,0,https://solanart.io/search/?token=9ALbgrBmrX5rqZGHfwdiEFRNpKiCNbnwL84Tr6gnEYyZ,Yellow,Engineer,,Brown - Smirk,Designer Glasses,Pirate Hat,,War Medal - Smirk,4
3602,75,11605,0,https://solanart.io/search/?token=8apSUyeRjaeDu3ZUwMM4NvCK8DBtMFovWCDCtgKZGwhK,Black,Dress Shirt,,Black - Grin,No Traits,No Traits,,Acid - Grin,2
3613,7.5,10020,14.51,https://solanart.io/search/?token=C8hXVZRQHHuNAdZPDS7TtoTwhQUqb2Uepro4EDfeH4na,Green,Bumbag,,Brown - Smirk,No Traits,Cardboard Box,,Bird Foot - Smirk,1
3662,4,7512,56.59,https://solanart.io/search/?token=GiFf3Xpzk2ehteGMEMRHiQUspUEbYV6Coi7LxAn3Bw4B,Yellow,Hoodie,,Brown - Grin,Designer Glasses,Road Cone,,No Traits,4
3665,1.8,10539,70.05,https://magiceden.io/item-details/G9FvVUoyyhRQ1uUe2bSjz3NVaWLiv52iiVbHABhR58rC,Green,Singlet,,Green - Smirk,No Traits,Trucker Cap,,Burnt Spoon - Smirk,2
3669,20,1495,0,https://solanart.io/search/?token=FhyxeT3zcESMnt1e4QV3rLA2GRdXARRCdJhUgjebxW6C,Red,Down Jacket,,Red - Grin,Snow Goggles,Trash Lid,,No Traits,6
3670,6,10624,27.81,https://solanart.io/search/?token=AkCoUoUgT4nwjM5wHzjybdi2yp7qNcuREa98G64r2L1B,Yellow,Designer Jacket,,Brown - Smirk,No Traits,Tamberine,,No Traits,1
3675,50,3689,0,https://solanart.io/search/?token=6jN2SsXsE7Nt36R4yxPNszVZRqh5MytnTz73N23XDueg,Black,Bumbag,,Purple - Grin,No Traits,The Gambler,,Dynamite - Grin,2
3698,7,9531,20.89,https://solanart.io/search/?token=FtbSkWpmZtozUKmWSrEUgCTkyjR3gTWBHhFsJUawa2rG,Blue,Vampire Cape,,Blue - Smirk,No Traits,Tamberine,,No Traits,1
3705,2.9,11063,57.57,https://solanart.io/search/?token=3uszGsbzrPHvoeL8yDpz3wiABkxBjniJN3G55W2jttyN,Red,No Traits,,Red - Smirk,No Traits,Tomato Soup,,Rat Tail - Smirk,1
3706,6,13955,18.4,https://solanart.io/search/?token=BXWPEN5yxtd2FSFvicyUKgmYaYcyCfcjBUenwugUCr3q,Yellow,No Traits,,Brown - Smirk,No Traits,Pandos,,No Traits,5
3709,4,8530,53.72,https://solanart.io/search/?token=BBWj4SAf9hpbKJTqBJQEuEGcAs38WwrBhyAaUL3YdrdG,Black,Hoodie,,Scarred Black - Grin,No Traits,Paint Can,,Lollipop - Grin,4
3749,13,4347,0,https://solanart.io/search/?token=AzQtf9o3tiF912QbeN74Ch4pYrVp1Mw8hPW5VEJEoky5,Purple,Singlet,,Scarred Purple - Grin,Designer Glasses,Paint Can,,Lollipop - Grin,2
3780,25,8348,0,https://solanart.io/search/?token=AABH3jTEVgvPPQtJJDMSaExsWdcEWGgtSfbZb7AJY3up,Green,Fishing Vest,,Scarred Green - Smirk,No Traits,Trash Lid,,Bird Foot - Smirk,3
3786,5.5,4641,49.7,https://solanart.io/search/?token=12n7bssxrZ5fViFSE5Dw9u2qx55w8EuVJsBn7qstMva,Purple,T-Shirt,,Purple - Smirk,Designer Glasses,Boot,,Match Stick - Smirk,1
3793,1.94,5624,82.52,https://solanart.io/search/?token=BBEfteMSHHpZzPYmAu1iJcSHWZyPioPsQ5yTr5YnFf7V,Green,Bandana,,Scarred Green - Smirk,No Traits,Boot,,Cigarette - Smirk,1
3794,30,1255,0,https://solanart.io/search/?token=8rvn34gGnQdwikP56d4kiv11dBik9voDNJQZAaphnops,Purple,Open Shirt,,Purple - Smirk,Trash Vipers,Tomato Soup,,Cigarette - Smirk,5
3807,5.3,1233,61.32,https://solanart.io/search/?token=6fBxWRqmxuQHxmvxhPCqqmrbXCZGqCCuBT1ARRh8dY8Q,Red,Bandana,,Red - Smirk,Designer Glasses,Sock,,War Medal - Smirk,5
3819,33,2049,0,https://solanart.io/search/?token=CUzxJXAwKG2tucjHpDz9uHM1JBT37yZPW28oXetDVGgw,Black,No Traits,,Scarred Black - Grin,Designer Glasses,Degen Service Hat,,Dirty Fiat - Grin,6
3824,2.5,6052,75.71,https://solanart.io/search/?token=5rUhnUKacENC1hsmHHsEGJkByqiL9LVT45hhXR6yE5gM,Green,No Traits,,Scarred Green - Smirk,Reading Glasses,Cardboard Box,,Cigarette - Smirk,2
3825,6.9,9846,21,https://magiceden.io/item-details/8niYSHn2eDahAxutfsEvFwGnD29fNX8nsewTQ7VhzyDF,Red,Hoodie,,Red - Grin,No Traits,Paint Can,,Lollipop - Grin,6
3829,3.5,11651,49.91,https://solanart.io/search/?token=3wkaT5BfBewi4i8frDREm3MWKVQ2X4Ydt7VApzH8KRaN,Green,No Traits,,Green - Smirk,Reading Glasses,Pandas Pickles,,No Traits,1
3832,7,5249,32.98,https://solanart.io/search/?token=HpuS6TLAKeTzRFHaX41SYq8XdeWZPzvD4GG3icJU4U7h,Black,Engineer,,Fox - Smirk,Reading Glasses,No Traits,,Burnt Spoon - Smirk,1
3847,4.5,13818,33.79,https://solanart.io/search/?token=5PwQ3ADNdxfZhJV1Ed2fLdQTzUEH1UDFLADTzry2xzP9,Purple,No Traits,,Scarred Purple - Grin,No Traits,Pot,,No Traits,5
3852,21,11354,0,https://solanart.io/search/?token=3y85DeoBvF1kybtdsRD95Cp2RREz6gU3yEmLuau7vVpE,Red,No Traits,,Red - Grin,Reading Glasses,Beret,,No Traits,3
3863,90,3028,0,https://solanart.io/search/?token=C8NHGE7SnpBkA5Eqn9r91vYk89SHxS5DHnYX5SXasenL,Green,Vampire Cape,,Scarred Green - Grin,No Traits,No Traits,,Cigar - Grin,5
3900,2.25,5272,80.42,https://solanart.io/search/?token=6L1iC9VTH9VbZYpbCoXh1wRj6ctKFqfgZ2Rm2oAcmLxP,Black,Dress Shirt,,Black - Grin,Reading Glasses,Trash Lid,,Bone - Grin,1
3911,5.5,5879,46.2,https://solanart.io/search/?token=8xMPbLPh3YLAuawzm5tRwovd7tkU41bF37kKshhwSMta,Blue,Hoodie,,Blue - Grin,Trash Vipers,Degen Service Hat,,No Traits,4
3914,15,3650,0,https://solanart.io/search/?token=6EDHoSfgCC3oiUw1PgwVrkyQEeEv22mg87fFvobYAfsq,Green,Hoodie,,Green - Smirk,Designer Glasses,Colander,,Burnt Spoon - Smirk,4
3916,6,14008,18.25,https://solanart.io/search/?token=BSvTBL3NXhniTrcNg9Z3QTk66vojWAxcYPgF615hWshv,Blue,Fishing Vest,,Blue - Smirk,No Traits,No Traits,,No Traits,5
3921,6,5850,41.29,https://solanart.io/search/?token=F4R3JQteFXvGWCEVKoq9BQk7fdMMo1kabtmhRCGXM8WX,Green,Knitted Vest,,Brown - Grin,No Traits,Paper Bag,,Acid - Grin,2
3937,5,1038,64.87,https://solanart.io/search/?token=7iupCwAwGkFoMm6NpQEfxaT9r2v11bKUhXEHYA2xWNud,Purple,Degen Service Polo,,Scarred Purple - Grin,Star Glasses,No Traits,,Smashed Bottle - Grin,1
3944,5,6370,49.82,https://solanart.io/search/?token=8NK3SRjSD1dCg1vHCAtr3z91h3txwTUTS4XHjNABpRdn,Red,No Traits,,Scarred Red - Grin,Reading Glasses,Pandos,,Lollipop - Grin,1
3954,999,4922,0,https://solanart.io/search/?token=EWGYZ3AzEJZo7jkpV9k9xEJDRLZ2ZYp82eKfQ9XEM6dp,Yellow,Rain Jacket,,Scarred Black - Grin,No Traits,Takeout,,Lollipop - Grin,2
3956,9.99,10475,0,https://solanart.io/search/?token=CagVqYzzgFhNtY4KbFxQYQDNFRiNxsn2K8tVqpzVVD5z,Purple,Knitted Vest,,Purple - Smirk,No Traits,Ice Cream,,Rat Tail - Smirk,2
3972,4.99,2216,61.64,https://solanart.io/search/?token=5qpsprJcvgx1NS44UsWQd2WatWgC4LfKn5GQ8EriUju6,Black,Dress Shirt,,Black - Smirk,Swimming Goggles,Headband,,Match Stick - Smirk,5
3976,29,2959,0,https://solanart.io/search/?token=8Y92gtqqQ1NupriLTPj1Rc1dFUnq7fwKnsSqANHTEBts,Yellow,No Traits,,Brown - Grin,Reading Glasses,Trash Lid,,Dirty Fiat - Grin,2
3979,5.99,7980,35.37,https://solanart.io/search/?token=BtkFi5uzPiBqiEvcdKG9gJaSV9B2agTmYPSArKXZbtpV,Green,Turtle Neck,,Scarred Green - Smirk,No Traits,Beret,,Match Stick - Smirk,5
4015,5,8918,42.62,https://solanart.io/search/?token=KENwGY1Sydt9brQc8rQDW5C74DdRuUgQ1nzE9qAgKpp,Yellow,T-Shirt,,Brown - Grin,Designer Glasses,Lampshade,,No Traits,2
4018,3,3884,76.84,https://solanart.io/search/?token=wfL2noj5TjwgsD3muAHDkvZY5CTuCtUMED2f5PSiZa1,Yellow,Dress Shirt,,Brown - Smirk,Designer Glasses,Trucker Cap,,Crayon Shiv - Smirk,5
4025,4.5,8440,48.97,https://solanart.io/search/?token=4pL4RBYopU7W8mG2DNkxVZTGvWh3pBkAYKjHZCe9g71T,Black,Dress Shirt,,Black - Smirk,No Traits,Paper Bag,,Match Stick - Smirk,3
4068,250,1829,0,https://solanart.io/search/?token=EMwiodHRhsa8jCjoF8R9Wpq4j4MLfxMMc4t61iUYNKq1,Purple,Bumbag,,Blue - Smirk,No Traits,Urn,,Bird Foot - Smirk,6
4081,3.99,9106,52.19,https://alpha.art/t/32dCL6X8Y8MABEqcnZbhSxfDPXYcmmAD2LRTSQBhEocb,Yellow,Fishing Vest,,Black - Smirk,No Traits,Paint Can,,Bird Foot - Smirk,3
4085,50,145,0,https://solanart.io/search/?token=DMQMTWSAd9TbrsqWpVzYCZmHCTU6Cz8QPyAGjsLqYggM,Black,Denim Vest,,Black - Grin,Star Glasses,Crown,,Smashed Bottle - Grin,5
4120,21,13237,0,https://solanart.io/search/?token=GXHJj4Fym6tyXijSswpaKYntGXijW1rYdNA9CGGur9pC,Purple,No Traits,,Purple - Smirk,No Traits,Trash Lid,,Bird Foot - Smirk,6
